,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed,Solar fixed
Locations,Forli2014,Forli2014,Forli2014,Forli2014,Forli2014,Forli2014,Forli2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2014,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2015,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2016,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2017,Utrecht2017,Torino2019,Torino2019,Torino2019,Torino2019,Torino2019,Torino2020,Torino2020,Torino2020,Torino2020,Torino2020,Almeria2023,Almeria2023,Almeria2023,Almeria2023,Almeria2023,Almeria2023,Almeria2023
Profile time series,PV-MEAS,RN-MERRA2,RN-SARAH,PG-SARAH,PG-SARAH2,PG-ERA5,CR-ERA5,PV-MEAS,RN-MERRA2,RN-SARAH,PG-SARAH,PG-SARAH2,PG-ERA5,CR-ERA5,PV-MEAS,RN-MERRA2,RN-SARAH,PG-SARAH,PG-SARAH2,PG-ERA5,CR-ERA5,PV-MEAS,RN-MERRA2,RN-SARAH,PG-SARAH,PG-SARAH2,PG-ERA5,CR-ERA5,PV-MEAS,RN-MERRA2,RN-SARAH,PG-SARAH,PG-SARAH2,PG-ERA5,CR-ERA5,PV-MEAS,RN-MERRA2,PG-SARAH2,PG-ERA5,CR-ERA5,PV-MEAS,RN-MERRA2,PG-SARAH2,PG-ERA5,CR-ERA5,PV-MEAS,RN-MERRA2,RN-SARAH,PG-SARAH,PG-SARAH2,PG-ERA5,CR-ERA5
Subsets,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed
Index,1,2,3,4,5,6,7,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,8,9,10,11,12,13,14,15,16,17,46,47,48,49,50,51,52
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0.0378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.01220644,0.006,0.005,0,0,0.00645,0.1417,0.000173509,0,0,0,0,0,0,0.000565959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.00459,0,0,0.036,0,0.00368,0,0.005,0.005,0,0,0,0,0
9,0.098710659,0.143,0.154,0.13329,0.12794,0.07442,0.3033,0.022388148,0.023,0.022,0,0,0.13826,0,0.015896541,0.016,0.04,0,0,0.0987,0,0.017,0.017,0,0,0,0.11685,0,0.000612803,0.059,0,0,0,0.0039,0,0.00750125,0.182,0.03427,0.17424,0.0763,0.014885875,0.227,0.1457,0.18862,0.0809,0.089,0.089,0,0,0,0,0
10,0.372885516,0.367,0.363,0.34809,0.33825,0.19472,0.4957,0.077444131,0.065,0.235,0.29206,0.29966,0.29258,0.1738,0.079977018,0.102,0.261,0.37049,0.36351,0.17203,0.1053,0.058,0.058,0,0.32742,0.12654,0.28197,0.1757,0.013214765,0.139,0,0,0.00198,0.02642,0.0085,0.056092682,0.342,0.31586,0.34723,0.2817,0.165398611,0.403,0.35371,0.3688,0.2929,0.169,0.169,0,0,0,0,0
11,0.571925094,0.572,0.544,0.56291,0.55558,0.42645,0.6033,0.225033704,0.086,0.341,0.39934,0.41888,0.37072,0.2999,0.132367119,0.265,0.285,0.45676,0.45507,0.24262,0.1584,0.069,0.069,0,0.49386,0.49513,0.35525,0.322,0.01712441,0.137,0,0,0.02476,0.07685,0.0328,0.137356226,0.498,0.34241,0.48681,0.4656,0.324181277,0.521,0.49159,0.48652,0.4665,0.222,0.222,0,0,0,0,0
