Time,Ammonia produced (H2 end-user) (kg/h),Water supply (kg/h),H2_from_AEC (kg/h),H2_pipeline_to_demand (kg/h),H2_to_storage (kg/h),H2_from_storage (kg/h),H2_storage_undergroundpipes (kg),PV fixed support (kWh),Power_to_the_grid (kWh),Electricity_to_batteries (kWh),Electricity_from_batteries (kWh),Electricity_stored (kWh),Electricity consumption
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,119.44244400609153,191.5546157737308,21.521161082178658,21.521161082178658,0.0,0.0,0.0,1153.7279244545157,0.0,0.0,0.0,0.0,1153.7279244545157
9,13295.710504356097,23047.346262124967,2589.36935254974,2395.623514298396,193.74583825134414,0.0,193.74583825134414,138587.0127359232,0.0,0.0,0.0,0.0,138587.0127359232
10,13295.710504356097,39988.25093641118,4492.679992705796,2395.623514298396,2097.056478407399,0.0,2290.802316658743,238396.62270570677,0.0,0.0,0.0,0.0,238396.6227057068
11,13295.710504356097,52632.347702496416,5913.244264375473,2395.623514298396,3517.6207500770765,0.0,5808.42306673582,312891.0131120646,0.0,0.0,0.0,0.0,312891.0131120646
12,13295.710504356097,55570.75004029468,6243.3737670271075,2395.623514298396,3847.7502527287115,0.0,9656.173319464531,345420.068329448,0.0,15217.064098331582,0.0,15217.064098331582,330203.0042311163
13,13295.710504356097,55570.75004029468,6243.3737670271075,2395.623514298396,3847.7502527287115,0.0,13503.923572193244,335309.7683598861,0.0,5106.764128769732,0.0,20323.828227101316,330203.0042311163
14,13295.710504356097,53346.59281652454,5993.489702936533,2395.623514298396,3597.866188638136,0.0,17101.78976083138,317099.0839102066,0.0,0.0,0.0,20323.828227101316,317099.0839102066
15,13295.710504356097,41167.3222357592,4625.148653187546,2395.623514298396,2229.52513888915,0.0,19331.31489972053,245343.27926136975,0.0,0.0,0.0,20323.828227101316,245343.27926136972
16,13295.710504356097,27859.482535425588,3130.012862855065,2395.623514298396,734.3893485566688,0.0,20065.7042482772,166938.35841633443,0.0,0.0,0.0,20323.828227101316,166938.35841633443
17,13295.710504356097,414.49587573978084,46.56861163936438,2395.623514298396,0.0,2349.054902659032,17716.649345618167,7450.653491082582,0.0,0.0,0.0,20323.828227101316,7450.653491082582
18,13295.710504356097,892.9650757014301,100.32462625505568,2395.623514298396,0.0,2295.2988880433404,15421.350457574827,0.0,0.0,0.0,10219.088243790684,10104.739983310634,10219.088243790684
19,0.0,0.0,0.0,0.0,0.0,0.0,15421.350457574827,0.0,0.0,0.0,0.0,10104.739983310634,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,15421.350457574827,0.0,0.0,0.0,0.0,10104.739983310634,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,15421.350457574827,0.0,0.0,0.0,0.0,10104.739983310634,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,15421.350457574827,0.0,0.0,0.0,0.0,10104.739983310634,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,15421.350457574827,0.0,0.0,0.0,0.0,10104.739983310634,0.0
24,13295.710504356097,0.0,0.0,2395.623514298396,0.0,2395.623514298396,13025.72694327643,0.0,0.0,0.0,5052.369991655317,5052.369991655317,5052.369991655317
25,0.0,0.0,0.0,0.0,0.0,0.0,13025.72694327643,0.0,0.0,0.0,0.0,5052.369991655317,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,13025.72694327643,0.0,0.0,0.0,0.0,5052.369991655317,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,13025.72694327643,0.0,0.0,0.0,0.0,5052.369991655317,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,13025.72694327643,0.0,0.0,0.0,0.0,5052.369991655317,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,13025.72694327643,0.0,0.0,0.0,0.0,5052.369991655317,0.0
30,13295.710504356097,0.0,0.0,2395.623514298396,0.0,2395.623514298396,10630.103428978035,0.0,0.0,0.0,5052.369991655317,0.0,5052.369991655317
31,0.0,0.0,0.0,0.0,0.0,0.0,10630.103428978035,0.0,0.0,0.0,0.0,0.0,0.0
32,2364.982449020337,0.0,0.0,426.1229637874481,0.0,426.1229637874481,10203.980465190587,898.693330627728,0.0,0.0,0.0,0.0,898.693330627728
33,12830.004419580644,20575.990280663533,2311.712508032548,2311.712508032548,0.0,0.0,10203.980465190587,123928.59584311688,0.0,0.0,0.0,0.0,123928.59584311688
34,13295.710504356097,37771.30830975244,4243.606488600687,2395.623514298396,1847.98297430229,0.0,12051.963439492876,225335.20815043483,0.0,0.0,0.0,0.0,225335.20815043483
35,13295.710504356097,43971.73919863154,4940.224898966254,2395.623514298396,2544.6013846678575,0.0,14596.564824160734,261865.8775900052,0.0,0.0,0.0,0.0,261865.8775900052
36,13295.710504356097,55570.75004029468,6243.3737670271075,2395.623514298396,3847.7502527287115,0.0,18444.315076889445,354522.37442817073,0.0,24319.37019705429,0.0,24319.37019705429,330203.0042311163
37,13295.710504356097,55570.75004029468,6243.3737670271075,2395.623514298396,3847.7502527287115,0.0,22292.065329618155,372052.9666276454,0.0,41849.96239652908,0.0,66169.33259358337,330203.0042311163
38,13295.710504356097,55570.75004029468,6243.3737670271075,2395.623514298396,3847.7502527287115,0.0,26139.815582346866,331872.87359545846,0.0,1669.869364342113,0.0,67839.20195792548,330203.0042311163
39,13295.710504356097,46505.09344146147,5224.847248148196,2395.623514298396,2829.2237338498,0.0,28969.039316196664,276791.4735811062,0.0,0.0,0.0,67839.20195792548,276791.4735811062
40,13295.710504356097,28627.321799424084,3216.279604165296,2395.623514298396,820.6560898668995,0.0,29789.69540606356,171462.18633064296,0.0,0.0,0.0,67839.20195792548,171462.18633064296
41,13295.710504356097,221.39363178979983,24.873574531584012,2395.623514298396,0.0,2370.7499397677566,27418.945466295805,6333.359080031893,0.0,0.0,0.0,67839.20195792548,6333.359080031893
42,13295.710504356097,4007.5226229775612,450.24516669152905,2395.623514298396,0.0,1945.378347606867,25473.567118688938,0.0,0.0,0.0,28239.99607626906,39599.20588165643,28239.99607626906
43,0.0,0.0,0.0,0.0,0.0,0.0,25473.567118688938,0.0,0.0,0.0,0.0,39599.20588165643,0.0
44,13295.710504356097,0.0,0.0,2395.623514298396,0.0,2395.623514298396,23077.94360439054,0.0,0.0,0.0,5052.369991655317,34546.835890001115,5052.369991655317
45,13295.710504356097,0.0,0.0,2395.623514298396,0.0,2395.623514298396,20682.320090092144,0.0,0.0,0.0,5052.369991655317,29494.465898345796,5052.369991655317
46,0.0,0.0,0.0,0.0,0.0,0.0,20682.320090092144,0.0,0.0,0.0,0.0,29494.465898345796,0.0
47,13295.710504356097,0.0,0.0,2395.623514298396,0.0,2395.623514298396,18286.696575793747,0.0,0.0,0.0,5052.369991655317,24442.09590669048,5052.369991655317
48,0.0,0.0,0.0,0.0,0.0,0.0,18286.696575793747,0.0,0.0,0.0,0.0,24442.09590669048,0.0
49,13295.710504356097,0.0,0.0,2395.623514298396,0.0,2395.623514298396,15891.07306149535,0.0,0.0,0.0,5052.369991655317,19389.725915035164,5052.369991655317
50,0.0,0.0,0.0,0.0,0.0,0.0,15891.07306149535,0.0,0.0,0.0,0.0,19389.725915035164,0.0
51,13295.710504356097,0.0,0.0,2395.623514298396,0.0,2395.623514298396,13495.449547196953,0.0,0.0,0.0,5052.369991655317,14337.355923379848,5052.369991655317
52,0.0,0.0,0.0,0.0,0.0,0.0,13495.449547196953,0.0,0.0,0.0,0.0,14337.355923379848,0.0
53,13295.710504356097,0.0,0.0,2395.623514298396,0.0,2395.623514298396,11099.826032898556,0.0,0.0,0.0,5052.369991655317,9284.985931724532,5052.369991655317
54,13295.710504356097,0.0,0.0,2395.623514298396,0.0,2395.623514298396,8704.20251860016,0.0,0.0,0.0,5052.369991655317,4232.615940069214,5052.369991655317
55,0.0,0.0,0.0,0.0,0.0,0.0,8704.20251860016,0.0,0.0,0.0,0.0,4232.615940069214,0.0
56,13295.710504356097,0.0,0.0,2395.623514298396,0.0,2395.623514298396,6308.579004301763,819.7540515861033,0.0,0.0,4232.615940069214,0.0,5052.369991655317
57,13295.710504356097,22015.65887519545,2473.459274628209,2395.623514298396,77.83576032981283,0.0,6386.414764631576,132508.6882497181,0.0,0.0,0.0,0.0,132508.6882497181
58,13295.710504356097,41401.28131351444,4651.433955573348,2395.623514298396,2255.8104412749512,0.0,8642.225205906527,246721.68051848118,0.0,0.0,0.0,0.0,246721.68051848115
59,13295.710504356097,55387.2931423192,6222.762384539562,2395.623514298396,3827.1388702411655,0.0,12469.364076147693,329122.14333346946,0.0,0.0,0.0,0.0,329122.14333346946
60,13295.710504356097,55570.75004029468,6243.3737670271075,2395.623514298396,3847.7502527287115,0.0,16317.114328876403,363351.4291763648,0.0,33148.42494524854,0.0,33148.42494524854,330203.0042311163
61,13295.710504356097,55570.75004029468,6243.3737670271075,2395.623514298396,3847.7502527287115,0.0,20164.864581605114,363679.3307969992,0.0,33476.326565882875,0.0,66624.75151113141,330203.0042311163
62,13295.710504356097,50605.04591419436,5685.4769084597365,2395.623514298396,3289.8533941613405,0.0,23454.717975766453,300946.8929678434,0.0,0.0,0.0,66624.75151113141,300946.8929678434
63,13295.710504356097,34942.15558535531,3925.751180014669,2395.623514298396,1530.127665716273,0.0,24984.845641482727,208666.87576818408,0.0,0.0,0.0,66624.75151113141,208666.87576818408
64,13295.710504356097,25913.602628809276,2911.3932553467225,2395.623514298396,515.7697410483254,0.0,25500.615382531054,155473.94619859694,0.0,0.0,0.0,66624.75151113141,155473.94619859697
65,13295.710504356097,249.72928715202536,28.05708541153005,2395.623514298396,0.0,2367.566428886861,23133.048953644193,6497.3098903491145,0.0,0.0,0.0,66624.75151113141,6497.3098903491145
66,2249.5128406848753,3607.6335465263287,405.31762895223306,405.31762895223306,0.0,0.0,23133.048953644193,0.0,0.0,0.0,21728.672770500256,44896.07874063115,21728.672770500256
67,13295.710504356097,0.0,0.0,2395.623514298396,0.0,2395.623514298396,20737.425439345796,0.0,0.0,0.0,5052.369991655317,39843.708748975834,5052.369991655317
68,13295.710504356097,0.0,0.0,2395.623514298396,0.0,2395.623514298396,18341.8019250474,0.0,0.0,0.0,5052.369991655134,34791.3387573207,5052.369991655317
69,0.0,0.0,0.0,0.0,0.0,0.0,18341.8019250474,0.0,0.0,0.0,0.0,34791.3387573207,0.0
70,13295.710504356097,0.0,0.0,2395.623514298396,0.0,2395.623514298396,15946.178410749002,0.0,0.0,0.0,5052.369991655317,29738.968765665384,5052.369991655317
71,0.0,0.0,0.0,0.0,0.0,0.0,15946.178410749002,0.0,0.0,0.0,0.0,29738.968765665384,0.0
72,13295.710504356097,0.0,0.0,2395.623514298396,0.0,2395.623514298396,13550.554896450605,0.0,0.0,0.0,5052.369991655317,24686.598774010068,5052.369991655317
73,0.0,0.0,0.0,0.0,0.0,0.0,13550.554896450605,0.0,0.0,0.0,0.0,24686.598774010068,0.0
74,13295.710504356097,0.0,0.0,2395.623514298396,0.0,2395.623514298396,11154.931382152208,0.0,0.0,0.0,5052.369991655317,19634.228782354752,5052.369991655317
75,0.0,0.0,0.0,0.0,0.0,0.0,11154.931382152208,0.0,0.0,0.0,0.0,19634.228782354752,0.0
