Time,Ammonia produced (H2 end-user) (kg/h),Water supply (kg/h),H2_from_AEC (kg/h),H2_pipeline_to_demand (kg/h),H2_to_storage (kg/h),H2_from_storage (kg/h),H2_storage_undergroundpipes (kg),PV fixed support (kWh),Power_to_the_grid (kWh),Electricity_to_batteries (kWh),Electricity_from_batteries (kWh),Electricity_stored (kWh),Electricity consumption
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2938.8205247775277,4713.1037977002825,529.5172116716268,529.5172116716267,0.0,0.0,0.0,28386.888200504236,0.0,0.0,0.0,0.0,28386.88820050424
10,13828.294837741967,35008.08775630559,3933.158659420933,2491.584655449003,1441.5740039719294,0.0,1441.5740039719294,209167.50256225362,0.0,0.0,0.0,0.0,209167.50256225362
11,13828.294837741967,57414.27260571556,6450.493527252143,2491.584655449003,3958.90887180314,0.0,5400.482875775069,358090.97865923535,0.0,16914.435627913044,0.0,16914.435627913044,341176.5430313223
12,13828.294837741967,57414.27260571556,6450.493527252143,2491.584655449003,43509.742813564015,39550.83394176087,9359.391747578207,378354.3269365775,0.0,0.0,0.0,16914.435627913044,378354.3269365775
13,13828.294837741967,57414.27260571556,6450.493527252143,2491.584655449003,24770.803848374017,20811.894976570875,13318.300619381349,416078.12920858763,0.0,55338.404899288726,0.0,72252.84052720177,360739.7243092989
14,13828.294837741967,57414.27260571556,6450.493527252143,2491.584655449003,43032.138095598944,39073.2292237958,17277.20949118449,377905.37850169034,0.0,0.0,0.0,72252.84052720177,377905.37850169034
15,13828.294837741967,48586.283143240624,5458.668911143084,2491.584655449003,2967.0842556940815,0.0,20244.29374687857,289165.26016256324,0.0,0.0,0.0,72252.84052720177,289165.26016256324
16,13828.294837741967,36411.627898304105,4090.8463943744664,2491.584655449003,1599.261738925463,0.0,21843.555485804034,217436.6473832169,0.0,0.0,0.0,72252.84052720177,217436.6473832169
17,11434.329483559499,18337.690668333755,2060.2395465872974,2060.2395465872974,0.0,0.0,21843.555485804034,110447.38185299843,0.0,0.0,0.0,72252.84052720177,110447.38185299843
18,13828.294837741967,6130.214829491428,688.7296360933619,2491.584655449003,0.0,1802.8550193556548,20040.70046644838,0.0,0.0,0.0,40724.32829715009,31528.51223005168,40724.32829715009
19,13828.294837741967,0.0,0.0,2491.584655449003,0.0,2491.584655449003,17549.115810999378,0.0,0.0,0.0,5254.752038341948,26273.760191709738,5254.752038341948
20,0.0,0.0,0.0,0.0,0.0,0.0,17549.115810999378,0.0,0.0,0.0,0.0,26273.760191709738,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,17549.115810999378,0.0,0.0,0.0,0.0,26273.760191709738,0.0
22,13828.294837741967,0.0,0.0,2491.584655449003,0.0,2491.584655449003,15057.531155550372,0.0,0.0,0.0,5254.752038341948,21019.00815336779,5254.752038341948
23,0.0,0.0,0.0,0.0,0.0,0.0,15057.531155550372,0.0,0.0,0.0,0.0,21019.00815336779,0.0
24,13828.294837741967,0.0,0.0,2491.584655449003,0.0,2491.584655449003,12565.946500101369,0.0,0.0,0.0,5254.752038341948,15764.256115025844,5254.752038341948
25,0.0,0.0,0.0,0.0,0.0,0.0,12565.946500101369,0.0,0.0,0.0,0.0,15764.256115025844,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,12565.946500101369,0.0,0.0,0.0,0.0,15764.256115025844,0.0
27,13828.294837741967,0.0,0.0,2491.584655449003,0.0,2491.584655449003,10074.361844652365,0.0,0.0,0.0,5254.752038341948,10509.504076683896,5254.752038341948
28,0.0,0.0,0.0,0.0,0.0,0.0,10074.361844652365,0.0,0.0,0.0,0.0,10509.504076683896,0.0
29,13828.294837741967,0.0,0.0,2491.584655449003,0.0,2491.584655449003,7582.777189203362,0.0,0.0,0.0,5254.752038341948,5254.752038341948,5254.752038341948
30,0.0,0.0,0.0,0.0,0.0,0.0,7582.777189203362,0.0,0.0,0.0,0.0,5254.752038341948,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,7582.777189203362,0.0,0.0,0.0,0.0,5254.752038341948,0.0
32,13828.294837741967,0.0,0.0,2491.584655449003,0.0,2491.584655449003,5091.192533754358,0.0,0.0,0.0,5254.752038341948,0.0,5254.752038341948
33,7785.142210860751,12485.343358088267,1402.7283262812168,1402.7283262812164,0.0,0.0,5091.192533754358,75198.86284360975,0.0,0.0,0.0,0.0,75198.86284360975
34,12240.79358995282,19631.049351011072,2205.548394586094,2205.5483945860938,0.0,0.0,5091.192533754358,118237.24388536591,0.0,0.0,0.0,0.0,118237.24388536593
35,13828.294837741967,43193.517388547865,4852.791678603353,2491.584655449003,2361.2070231543494,0.0,7452.399556908707,257393.0580881797,0.0,0.0,0.0,0.0,257393.05808817974
36,13828.294837741967,57414.27260571556,6450.493527252143,2491.584655449003,3958.90887180314,0.0,11411.308428711847,377947.8465968824,0.0,36771.30356556008,0.0,36771.30356556008,341176.5430313223
37,13828.294837741967,57414.27260571556,6450.493527252143,2491.584655449003,17277.573070569804,13318.664198766664,15370.217300514987,389177.62433980464,0.0,35481.53696164169,0.0,72252.84052720177,353696.08737816295
38,13828.294837741967,51705.37565249487,5809.098954557799,2491.584655449003,3317.514299108795,0.0,18687.73159962378,307541.8116392308,0.0,0.0,0.0,72252.84052720177,307541.8116392308
39,13828.294837741967,55386.70801320264,6222.696645283317,2491.584655449003,3731.111989834313,0.0,22418.843589458094,329230.874540877,0.0,0.0,0.0,72252.84052720177,329230.874540877
40,13828.294837741967,40934.26054955685,4598.964172742712,2491.584655449003,2107.3795172937084,0.0,24526.2231067518,244082.34368084773,0.0,0.0,0.0,72252.84052720177,244082.34368084773
41,11613.962454298198,18625.775234724493,2092.605847621297,2092.605847621297,0.0,0.0,24526.2231067518,112182.50688513012,0.0,0.0,0.0,72252.84052720177,112182.50688513012
42,13828.294837741967,5222.034854751955,586.6956159313822,2491.584655449003,0.0,1904.8890395175786,22621.334067234224,0.0,0.0,0.0,35469.576258808134,36783.264268393636,35469.576258808134
43,13828.294837741967,0.0,0.0,2491.584655449003,0.0,2491.584655449003,20129.749411785222,0.0,0.0,0.0,5254.752038341948,31528.512230051685,5254.752038341948
44,0.0,0.0,0.0,0.0,0.0,0.0,20129.749411785222,0.0,0.0,0.0,0.0,31528.512230051685,0.0
45,13828.294837741967,0.0,0.0,2491.584655449003,0.0,2491.584655449003,17638.16475633622,0.0,0.0,0.0,5254.752038341948,26273.760191709738,5254.752038341948
46,0.0,0.0,0.0,0.0,0.0,0.0,17638.16475633622,0.0,0.0,0.0,0.0,26273.760191709738,0.0
47,13828.294837741967,0.0,0.0,2491.584655449003,0.0,2491.584655449003,15146.580100887217,0.0,0.0,0.0,5254.752038341948,21019.00815336779,5254.752038341948
48,0.0,0.0,0.0,0.0,0.0,0.0,15146.580100887217,0.0,0.0,0.0,0.0,21019.00815336779,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,15146.580100887217,0.0,0.0,0.0,0.0,21019.00815336779,0.0
50,13828.294837741967,0.0,0.0,2491.584655449003,0.0,2491.584655449003,12654.995445438211,0.0,0.0,0.0,5254.752038341948,15764.256115025844,5254.752038341948
51,0.0,0.0,0.0,0.0,0.0,0.0,12654.995445438211,0.0,0.0,0.0,0.0,15764.256115025844,0.0
52,13828.294837741967,0.0,0.0,2491.584655449003,0.0,2491.584655449003,10163.410789989208,0.0,0.0,0.0,5254.752038341948,10509.504076683896,5254.752038341948
53,0.0,0.0,0.0,0.0,0.0,0.0,10163.410789989208,0.0,0.0,0.0,0.0,10509.504076683896,0.0
54,13828.294837741967,0.0,0.0,2491.584655449003,0.0,2491.584655449003,7671.826134540203,0.0,0.0,0.0,5254.752038341948,5254.752038341948,5254.752038341948
55,0.0,0.0,0.0,0.0,0.0,0.0,7671.826134540203,0.0,0.0,0.0,0.0,5254.752038341948,0.0
56,13828.294837741967,0.0,0.0,2491.584655449003,0.0,2491.584655449003,5180.2414790912,0.0,0.0,0.0,5254.752038341948,0.0,5254.752038341948
57,2450.1685973834446,3929.4331940219713,441.4718193483685,441.4718193483684,0.0,0.0,5180.2414790912,23666.862763446687,0.0,0.0,0.0,0.0,23666.862763446687
58,13828.294837741967,38233.2438272809,4295.50494399501,2491.584655449003,1803.920288546006,0.0,6984.161767637206,228168.9417253182,0.0,0.0,0.0,0.0,228168.9417253182
59,13828.294837741967,55042.77374509735,6184.055630261688,2491.584655449003,3692.470974812684,0.0,10676.63274244989,327204.5397131428,0.0,0.0,0.0,0.0,327204.5397131428
60,13828.294837741967,57414.27260571556,6450.493527252143,2491.584655449003,48259.973521974,44301.06465017086,14635.54161425303,382819.5438024829,0.0,0.0,0.0,0.0,382819.5438024829
61,13828.294837741967,57414.27260571556,6450.493527252143,2491.584655449003,3958.90887180314,0.0,18594.450486056172,389626.57277469186,0.0,48450.02974336955,0.0,48450.02974336955,341176.5430313223
62,13828.294837741967,57414.27260571556,6450.493527252143,2491.584655449003,21382.391997945728,17423.483126142586,22553.35935785931,381357.42795372853,0.0,23802.810783832218,0.0,72252.84052720177,357554.6171698963
63,13828.294837741967,57414.27260571556,6450.493527252143,2491.584655449003,12517.069088313308,8558.160216510169,26512.26822966245,349221.21363484184,0.0,0.0,0.0,72252.84052720177,349221.21363484184
64,13828.294837741967,24698.297659688447,2774.8537420659973,2491.584655449003,283.2690866169935,0.0,26795.537316279446,148425.99269616077,0.0,0.0,0.0,72252.84052720177,148425.99269616077
65,13828.294837741967,9913.787252378295,1113.8139978047016,2491.584655449003,0.0,1377.7706576443018,25417.766658635144,62616.17292528408,0.0,0.0,0.0,72252.84052720177,62616.172925284074
66,13828.294837741967,5222.034854751955,586.6956159313822,2491.584655449003,0.0,1904.8890395176204,23512.877619117524,0.0,0.0,0.0,35469.576258808134,36783.264268393636,35469.576258808134
67,13828.294837741967,0.0,0.0,2491.584655449003,0.0,2491.584655449003,21021.292963668522,0.0,0.0,0.0,5254.752038341948,31528.512230051685,5254.752038341948
68,0.0,0.0,0.0,0.0,0.0,0.0,21021.292963668522,0.0,0.0,0.0,0.0,31528.512230051685,0.0
69,13828.294837741967,0.0,0.0,2491.584655449003,0.0,2491.584655449003,18529.708308219517,0.0,0.0,0.0,5254.752038341948,26273.760191709738,5254.752038341948
70,0.0,0.0,0.0,0.0,0.0,0.0,18529.708308219517,0.0,0.0,0.0,0.0,26273.760191709738,0.0
71,13828.294837741967,0.0,0.0,2491.584655449003,0.0,2491.584655449003,16038.123652770513,0.0,0.0,0.0,5254.752038341948,21019.00815336779,5254.752038341948
72,0.0,0.0,0.0,0.0,0.0,0.0,16038.123652770513,0.0,0.0,0.0,0.0,21019.00815336779,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,16038.123652770513,0.0,0.0,0.0,0.0,21019.00815336779,0.0
74,13828.294837741967,0.0,0.0,2491.584655449003,0.0,2491.584655449003,13546.53899732151,0.0,0.0,0.0,5254.752038341948,15764.256115025844,5254.752038341948
75,0.0,0.0,0.0,0.0,0.0,0.0,13546.53899732151,0.0,0.0,0.0,0.0,15764.256115025844,0.0
