Time,Ammonia produced (H2 end-user) (kg/h),Water supply (kg/h),H2_from_AEC (kg/h),H2_pipeline_to_demand (kg/h),H2_to_storage (kg/h),H2_from_storage (kg/h),H2_storage_undergroundpipes (kg),PV fixed support (kWh),Power_to_the_grid (kWh),Electricity_to_batteries (kWh),Electricity_from_batteries (kWh),Electricity_stored (kWh),Electricity consumption
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,319.8765703486724,512.9988258196875,57.63541808084189,57.63541808084189,0.0,0.0,0.0,3089.7771278958526,0.0,0.0,0.0,0.0,3089.7771278958526
9,5693.802952206369,9131.379099590435,1025.9104418389854,1025.9104418389854,0.0,0.0,0.0,54998.03287654617,0.0,0.0,0.0,0.0,54998.03287654617
10,10811.828077785129,17339.360312705434,1948.0771311324556,1948.0771311324556,0.0,0.0,0.0,104434.46692287982,0.0,0.0,0.0,0.0,104434.46692287982
11,14202.519723481055,22777.14786639412,2559.0125627893794,2559.0125627893794,0.0,0.0,0.0,137186.10447857584,0.0,0.0,0.0,0.0,137186.10447857584
12,14216.538553986285,31377.37525702666,3525.2481101269454,2561.5384781957273,963.7096319312177,0.0,963.7096319312177,187858.44937606782,0.0,0.0,0.0,0.0,187858.44937606782
13,14216.538553986285,36936.3827506517,4149.802602035718,2561.5384781957273,1588.2641238399901,0.0,2551.973755771208,220610.08693176386,0.0,0.0,0.0,0.0,220610.0869317639
14,14216.538553986285,37146.156618335655,4173.370696070011,2561.5384781957273,1611.8322178742828,0.0,4163.805973645491,221845.99778292218,0.0,0.0,0.0,0.0,221845.9977829222
15,14216.538553986285,34628.8702061281,3890.5535676584923,2561.5384781957273,1329.015089462764,0.0,5492.821063108255,207015.06756902213,0.0,0.0,0.0,0.0,207015.06756902213
16,14010.593781271851,22469.348570902308,2524.4313119408744,2524.4313119408744,0.0,0.0,5492.821063108255,135332.23820183834,0.0,0.0,0.0,0.0,135332.23820183834
17,3070.8150753472555,4924.788727868999,553.300013576082,553.300013576082,0.0,0.0,5492.821063108255,29661.860427800184,0.0,0.0,0.0,0.0,29661.86042780018
18,0.0,0.0,0.0,0.0,0.0,0.0,5492.821063108255,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,5492.821063108255,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,5492.821063108255,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,5492.821063108255,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,5492.821063108255,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,5492.821063108255,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,5492.821063108255,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,5492.821063108255,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,5492.821063108255,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,5492.821063108255,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,5492.821063108255,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,5492.821063108255,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,5492.821063108255,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,5492.821063108255,0.0,0.0,0.0,0.0,0.0,0.0
32,13680.0025556255,169.57294250439892,19.05152009036922,2464.865325337928,0.0,2445.8138052475592,3047.0072578606955,6179.554255791705,0.0,0.0,0.0,0.0,6179.554255791705
33,7293.185803949732,11696.373228688873,1314.087532243195,1314.087532243195,0.0,0.0,3047.0072578606955,70446.91851602544,0.0,0.0,0.0,0.0,70446.91851602544
34,14010.593781271851,22469.348570902308,2524.4313119408744,2524.4313119408744,0.0,0.0,3047.0072578606955,135332.23820183834,0.0,0.0,0.0,0.0,135332.23820183834
35,14216.538553986285,31796.92299239459,3572.384298195532,2561.5384781957273,1010.8458199998042,0.0,4057.8530778605,190330.2710783845,0.0,0.0,0.0,0.0,190330.2710783845
36,14216.538553986285,36831.49581680971,4138.018555018571,2561.5384781957273,1576.480076822844,0.0,5634.333154683344,219992.13150618467,0.0,0.0,0.0,0.0,219992.13150618464
37,14216.538553986285,37775.47822138755,4244.074978172892,2561.5384781957273,1682.5364999771637,0.0,7316.869654660508,225553.73033639722,0.0,0.0,0.0,0.0,225553.73033639728
38,14216.538553986285,34628.8702061281,3890.5535676584923,2561.5384781957273,1329.015089462764,0.0,8645.884744123272,207015.06756902213,0.0,0.0,0.0,0.0,207015.06756902213
39,14216.538553986285,25608.593895717666,2877.12552418388,2561.5384781957273,315.58704598815166,0.0,8961.471790111424,153870.90096921346,0.0,0.0,0.0,0.0,153870.90096921346
40,8572.69208534442,13748.36853196762,1544.6292045665623,1544.6292045665623,0.0,0.0,8961.471790111424,82806.02702760884,0.0,0.0,0.0,0.0,82806.02702760884
41,14216.538553986285,1843.1576798481935,207.07876533094455,2561.5384781957273,0.0,2354.459712864783,6607.01207724664,16066.841065058432,0.0,0.0,0.0,0.0,16066.841065058432
42,0.0,0.0,0.0,0.0,0.0,0.0,6607.01207724664,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,6607.01207724664,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,6607.01207724664,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,6607.01207724664,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,6607.01207724664,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,6607.01207724664,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,6607.01207724664,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,6607.01207724664,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,6607.01207724664,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,6607.01207724664,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,6607.01207724664,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,6607.01207724664,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,6607.01207724664,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,6607.01207724664,0.0,0.0,0.0,0.0,0.0,0.0
56,11383.389418563667,0.0,0.0,2051.061156497958,0.0,2051.061156497958,4555.950920748682,4325.687979054193,0.0,0.0,0.0,0.0,4325.687979054193
57,14216.538553986285,10814.473176869085,1215.0060614212418,2561.5384781957273,0.0,1346.5324167744852,3209.4185039741965,67975.09681370875,0.0,0.0,0.0,0.0,67975.09681370875
58,14216.538553986285,23825.51602040397,2676.7967248923865,2561.5384781957273,115.25824669665883,0.0,3324.676750670855,143365.65873436755,0.0,0.0,0.0,0.0,143365.65873436755
59,14216.538553986285,34943.53100765405,3925.9057087099322,2561.5384781957273,1364.3672305142038,0.0,4689.043981185059,208868.93384575963,0.0,0.0,0.0,0.0,208868.93384575966
60,14216.538553986285,42810.05104580267,4809.70923499593,2561.5384781957273,2248.170756800204,0.0,6937.214737985263,255215.59076419738,0.0,0.0,0.0,0.0,255215.59076419738
61,14216.538553986285,48159.28467174374,5410.69563287041,2561.5384781957273,2849.1571546746823,0.0,9786.371892659945,286731.3174687351,0.0,0.0,0.0,0.0,286731.3174687351
62,14216.538553986285,48788.60627479564,5481.39991497329,2561.5384781957273,2919.8614367775626,0.0,12706.233329437508,290439.0500222101,0.0,0.0,0.0,0.0,290439.0500222101
63,14216.538553986285,42495.39024427673,4774.357093944491,2561.5384781957273,2212.8186157487626,0.0,14919.051945186271,253361.72448745987,0.0,0.0,0.0,0.0,253361.7244874599
64,14216.538553986285,27077.01096950541,3042.102182423933,2561.5384781957273,480.56370422820476,0.0,15399.615649414476,162522.27692732183,0.0,0.0,0.0,0.0,162522.27692732183
65,14216.538553986285,6542.4181782877085,735.0406823306241,2561.5384781957273,0.0,1826.4977958651052,13573.117853549371,43256.879790541934,0.0,0.0,0.0,0.0,43256.879790541934
66,0.0,0.0,0.0,0.0,0.0,0.0,13573.117853549371,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,13573.117853549371,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,13573.117853549371,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,13573.117853549371,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,13573.117853549371,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,13573.117853549371,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,13573.117853549371,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,13573.117853549371,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,13573.117853549371,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,13573.117853549371,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,13573.117853549371,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,13573.117853549371,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,13573.117853549371,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,13573.117853549371,0.0,0.0,0.0,0.0,0.0,0.0
80,14216.538553986285,1309.1508050255213,147.08309294461733,2561.5384781957273,0.0,2414.45538525111,11158.662468298262,12977.06393716258,0.0,0.0,0.0,0.0,12977.06393716258
81,14216.538553986285,26552.5763002955,2983.1819473381993,2561.5384781957273,421.64346914247176,0.0,11580.305937440733,159432.49979942598,0.0,0.0,0.0,0.0,159432.49979942598
82,14216.538553986285,46900.64146563997,5269.287068664651,2561.5384781957273,2707.7485904689224,0.0,14288.054527909655,279315.8523617851,0.0,0.0,0.0,0.0,279315.85236178513
83,14216.538553986285,57746.85506841204,6487.859166936093,2561.5384781957273,3926.3206887403658,0.0,18214.37521665002,355324.369708023,0.0,12106.59651288348,0.0,12106.59651288348,343217.77319513954
