Time,Ammonia produced (H2 end-user) (kg/h),Water supply (kg/h),H2_from_AEC (kg/h),H2_pipeline_to_demand (kg/h),H2_to_storage (kg/h),H2_from_storage (kg/h),H2_storage_undergroundpipes (kg),PV fixed support (kWh),Power_to_the_grid (kWh),Electricity_to_batteries (kWh),Electricity_from_batteries (kWh),Electricity_stored (kWh),Electricity consumption
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,337.51110434796396,541.2800319913463,60.81281159422775,60.81281159422775,0.0,0.0,0.0,3260.1140167549556,0.0,0.0,0.0,0.0,3260.1140167549556
9,5602.684332176203,8985.248531056348,1009.4926724641807,1009.4926724641807,0.0,0.0,0.0,54117.892678132266,0.0,0.0,0.0,0.0,54117.892678132266
10,10665.350897395663,17104.449010926543,1921.684846377597,1921.684846377597,0.0,0.0,0.0,103019.6029294566,0.0,0.0,0.0,0.0,103019.6029294566
11,13972.95972000571,22408.99332444173,2517.6504000010286,2517.6504000010286,0.0,0.0,0.0,134968.72029365515,0.0,0.0,0.0,0.0,134968.72029365515
12,13977.777242046568,31041.023749901247,3487.459018301405,2518.5184219903726,968.9405963110321,0.0,968.9405963110321,185826.49895503244,0.0,0.0,0.0,0.0,185826.49895503244
13,13977.777242046568,36463.8177259355,4096.709921508854,2518.5184219903726,1578.19149951848,0.0,2547.132095829512,217775.61631923105,0.0,0.0,0.0,0.0,217775.61631923105
14,13977.777242046568,36685.15625556955,4121.577305313239,2518.5184219903726,1603.0588833228662,0.0,4150.190979152378,219079.66192593303,0.0,0.0,0.0,0.0,219079.66192593297
15,13977.777242046568,34139.76316477796,3835.6023915628043,2518.5184219903726,1317.0839695724312,0.0,5467.274948724809,204083.13744886022,0.0,0.0,0.0,0.0,204083.13744886022
16,13770.45305739693,22084.225305246924,2481.162713044492,2481.162713044492,0.0,0.0,5467.274948724809,133012.65188360217,0.0,0.0,0.0,0.0,133012.6518836022
17,3037.599939131676,4871.520287922116,547.3153043480497,547.3153043480497,0.0,0.0,5467.274948724809,29341.026150794598,0.0,0.0,0.0,0.0,29341.026150794598
18,0.0,0.0,0.0,0.0,0.0,0.0,5467.274948724809,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,5467.274948724809,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,5467.274948724809,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,5467.274948724809,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,5467.274948724809,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,5467.274948724809,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,5467.274948724809,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,5467.274948724809,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,5467.274948724809,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,5467.274948724809,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,5467.274948724809,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,5467.274948724809,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,5467.274948724809,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,5467.274948724809,0.0,0.0,0.0,0.0,0.0,0.0
32,1628.337077542234,907.2613997853224,101.93081826588097,293.39406802562775,0.0,191.46324975974494,5275.811698965064,5868.205230158919,0.0,0.0,0.0,0.0,5868.205230158919
33,7222.737633046429,11583.392684614808,1301.3941681164738,1301.3941681164738,0.0,0.0,5275.811698965064,69766.43995855605,0.0,0.0,0.0,0.0,69766.43995855605
34,13837.955278266523,22192.48131164519,2493.3252753633374,2493.3252753633374,0.0,0.0,5275.811698965064,133664.67468695316,0.0,0.0,0.0,0.0,133664.67468695313
35,13977.777242046568,31373.03154435232,3524.7600940079833,2518.5184219903726,1006.2416720176107,0.0,6282.053370982675,187782.56736508542,0.0,0.0,0.0,0.0,187782.56736508542
36,13977.777242046568,36353.14846111848,4084.276229606661,2518.5184219903726,1565.7578076162874,0.0,7847.811178598962,217123.59351588006,0.0,0.0,0.0,0.0,217123.59351588006
37,13977.777242046568,37349.171844471704,4196.179456726396,2518.5184219903726,1677.6610347360233,0.0,9525.472213334986,222991.79874603898,0.0,0.0,0.0,0.0,222991.79874603896
38,13977.777242046568,34139.76316477796,3835.6023915628043,2518.5184219903726,1317.0839695724312,0.0,10842.556182907418,204083.13744886022,0.0,0.0,0.0,0.0,204083.13744886022
39,13977.777242046568,25286.221979415932,2840.90703938738,2518.5184219903726,322.38861739700627,0.0,11164.944800304424,151921.31318078094,0.0,0.0,0.0,0.0,151921.31318078094
40,8505.279829568692,13640.256806181926,1532.4828521745394,1532.4828521745394,0.0,0.0,11164.944800304424,82154.87322222488,0.0,0.0,0.0,0.0,82154.87322222488
41,13977.777242046568,1786.5446361614565,200.71828987273966,2518.5184219903726,0.0,2317.8001321176334,8847.144668186787,15648.547280423787,0.0,0.0,0.0,0.0,15648.547280423787
42,0.0,0.0,0.0,0.0,0.0,0.0,8847.144668186787,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,8847.144668186787,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,8847.144668186787,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,8847.144668186787,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,8847.144668186787,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,8847.144668186787,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,8847.144668186787,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,8847.144668186787,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,8847.144668186787,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,8847.144668186787,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,8847.144668186787,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,8847.144668186787,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,8847.144668186787,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,8847.144668186787,0.0,0.0,0.0,0.0,0.0,0.0
56,10295.09689501565,0.0,0.0,1854.9724135163333,0.0,1854.9724135163333,6992.172254670454,3912.1368201059468,0.0,0.0,0.0,0.0,3912.1368201059468
57,13977.777242046568,10688.995189819329,1200.9086095762016,2518.5184219903726,0.0,1317.6098124141715,5674.562442256282,67158.34874515208,0.0,0.0,0.0,0.0,67158.34874515208
58,13977.777242046568,23515.51374234352,2641.9679689522945,2518.5184219903726,123.44954696192113,0.0,5798.011989218205,141488.94832716507,0.0,0.0,0.0,0.0,141488.94832716507
59,13977.777242046568,34471.77095922904,3872.9034672693833,2518.5184219903726,1354.3850452790098,0.0,7152.397034497214,206039.2058589132,0.0,0.0,0.0,0.0,206039.2058589132
60,13977.777242046568,42218.619496420826,4743.26190042288,2518.5184219903726,2224.7434784325073,0.0,9377.140512929722,251680.80209348258,0.0,0.0,0.0,0.0,251680.80209348258
61,13977.777242046568,47530.74420763804,5340.079111728134,2518.5184219903726,2821.560689737761,0.0,12198.701202667482,282977.89665433014,0.0,0.0,0.0,0.0,282977.89665433014
62,13977.777242046568,48194.7597965402,5414.681263141292,2518.5184219903726,2896.1628411509196,0.0,15094.864043818401,286890.0334744361,0.0,0.0,0.0,0.0,286890.0334744361
63,13977.777242046568,41886.61170196975,4705.960824716301,2518.5184219903726,2187.44240272593,0.0,17282.30644654433,249724.7336834296,0.0,0.0,0.0,0.0,249724.7336834296
64,13977.777242046568,26724.922422037256,3002.5450341158858,2518.5184219903726,484.0266121255128,0.0,17766.333058669843,160397.6096243438,0.0,0.0,0.0,0.0,160397.6096243438
65,13977.777242046568,6519.493031777036,732.46504212015,2518.5184219903726,0.0,1786.0533798702231,15980.27967879962,43033.505021165416,0.0,0.0,0.0,0.0,43033.505021165416
66,0.0,0.0,0.0,0.0,0.0,0.0,15980.27967879962,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,15980.27967879962,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,15980.27967879962,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,15980.27967879962,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,15980.27967879962,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,15980.27967879962,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,15980.27967879962,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,15980.27967879962,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,15980.27967879962,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,15980.27967879962,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,15980.27967879962,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,15980.27967879962,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,15980.27967879962,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,15980.27967879962,0.0,0.0,0.0,0.0,0.0,0.0
80,13977.777242046568,1335.7876461028297,150.07574203965294,2518.5184219903726,0.0,2368.44267995072,13611.8369988489,13040.456067019823,0.0,0.0,0.0,0.0,13040.456067019823
81,13977.777242046568,26171.576097952126,2940.3765746049216,2518.5184219903726,421.85815261454866,0.0,14033.695151463447,157137.49560758885,0.0,0.0,0.0,0.0,157137.49560758885
82,13977.777242046568,46202.71302983373,5190.87480890182,2518.5184219903726,2672.356386911447,0.0,16706.051538374893,275153.62301411823,0.0,0.0,0.0,0.0,275153.6230141182
83,13977.777242046568,55609.600539280895,6247.7386205882085,2518.5184219903726,10015.58426811324,6286.3640695154045,20435.27173697273,350788.26820283325,0.0,14303.524678536356,0.0,14303.524678536356,336484.7435242969
