Type of unit,"Installed capacity (MW, t/h, MWh, t)",Total investment (MEUR),Annualised investment (MEUR),Fixed O&M (MEUR),Variable O&M (MEUR),Cost per unit (MEUR),Production (kton or GWh),Electricity consumption (GWh),Production cost fuel (EUR/kg),Load average,Full load hours,Average electricity cost (EUR/MWh)
H2 user (ammonia plant),13.295710504356098,55.73561843426075,5.221244681731439,5.796929779899258,0.0,11.018174461630696,100.00000000001366,38.000000000005194,0.8970182815089451,0.8633175764146289,7521.2227257242475,31.29551530780832
Water supply,55.57075004029468,0.0,0.0,0.0,0.0,0.0,160.40231862979567,0.0,0.0,0.3313191332118744,2886.4522885418496,31.29551530780832
Electrolyser AEC,6.243373767027108,352.5445865027197,33.02594640663467,7.048768982973604,0.0,40.07471538960827,18.021200498057542,928.0918256499634,0.0,0.33131913321187445,2886.45228854185,31.29551530780832
H2 pipeline to demand,2.395623514298396,0.0,0.0,0.0,0.0,0.0,18.018018018017703,0.0,0.0,0.8633175764144957,7521.222725723086,31.29551530780832
H2 storage compressor,238.41756208247327,0.0,0.0,0.0,0.0,0.0,134.17073679332856,126.12049258572881,0.0,0.06459541535274649,562.7552585531274,31.29551530780832
H2 storage valve,234.5698118297446,0.0,0.0,0.0,0.0,0.0,134.1675543132887,0.0,0.0,0.06565344462500967,571.9728095730843,31.29551530780832
H2 underground pipe,35.360889331504794,16.2927215781711,1.3318136263979763,0.03506654553623557,0.0,1.3668801719342119,167.0344103282988,0.0,0.0,0.5422067282651697,4723.705016646159,31.29551530780832
Solar PV fixed support,607.2252233971135,333.9738728684124,28.6560487168047,5.525749532913732,0.0,34.18179824971843,1092.226726849581,0.0,0.0,0.2064643767217631,1798.71765,31.29551530780832
Electricity to the grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.29551530780832
Charge batteries,63.15142323329981,0.0,0.0,0.0,0.039547452845874374,0.039547452845874374,18.962328391082757,0.0,0.0,0.03446598177882665,300.2676332571378,31.29551530780832
Discharge batteries,37.13797064298021,0.0,0.0,0.0,0.0,0.0,18.9479197771998,0.0,0.0,0.058563294749582315,510.20342385836113,31.29551530780832
Batteries,72.04306941478562,26.06732467171264,2.655014600534132,0.3656978246563932,0.0,3.0207124251905255,367.6825484049654,0.0,0.0,0.5858183113071159,5103.649128107594,31.29551530780832
