Type of unit,"Installed capacity (MW, t/h, MWh, t)",Total investment (MEUR),Annualised investment (MEUR),Fixed O&M (MEUR),Variable O&M (MEUR),Cost per unit (MEUR),Production (kton or GWh),Electricity consumption (GWh),Production cost fuel (EUR/kg),Load average,Full load hours,Average electricity cost (EUR/MWh)
H2 user (ammonia plant),13.828294837741968,57.96821195981432,5.430391317208603,6.029136549255497,0.0,11.4595278664641,99.99999999999405,37.99999999999774,0.9149099005386943,0.8300676767464192,7231.549599814804,31.20766780812827
Water supply,57.41427260571556,0.0,0.0,0.0,0.0,0.0,160.4031017427162,0.0,0.0,0.3206823284293571,2793.7844452765594,31.20766780812827
Electrolyser AEC,6.450493527252143,364.2400180033468,34.12156014949154,7.28260719226767,0.0,41.40416734175921,18.021288480794166,928.0963567608995,0.0,0.3206823284293571,2793.7844452765594,31.20766780812827
H2 pipeline to demand,2.4915846554490026,0.0,0.0,0.0,0.0,0.0,18.018018018016946,0.0,0.0,0.8300676767464195,7231.549599814806,31.20766780812827
H2 storage compressor,308.12511007147197,0.0,0.0,0.0,0.0,0.0,136.40400156695245,128.2197614729353,0.0,0.05081385600030473,442.69031347465483,31.20766780812827
H2 storage valve,308.4802132044153,0.0,0.0,0.0,0.0,0.0,136.4007311041765,0.0,0.0,0.05075414534092957,442.17011421017844,31.20766780812827
H2 underground pipe,36.33847528825883,16.743149610758305,1.3686329011049714,0.03603599407432869,0.0,1.4046688951793,175.31623554632029,0.0,0.0,0.5537803851892844,4824.534715769046,31.20766780812827
Solar PV fixed support,606.6870741719222,333.6778907945572,28.63065248848645,5.520852374964491,0.0,34.15150486345094,1094.330568801938,0.0,0.0,0.20704556014692377,1803.78092,31.20766780812827
Electricity to the grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.20766780812827
Charge batteries,65.40086659573304,0.0,0.0,0.0,0.041613114804226636,0.041613114804226636,19.952778030201017,0.0,0.0,0.03501885979169437,305.08430650524133,31.20766780812827
Discharge batteries,57.802272421761415,0.0,0.0,0.0,0.0,0.0,19.938327462095575,0.0,0.0,0.0395936869728995,344.9402009079004,31.20766780812827
Batteries,72.25284052720177,26.143226097602973,2.6627453284273126,0.3667626438001289,0.0,3.0295079722274414,359.6690617299324,0.0,0.0,0.5713869138138703,4977.922793146438,31.20766780812827
