Type of unit,"Installed capacity (MW, t/h, MWh, t)",Total investment (MEUR),Annualised investment (MEUR),Fixed O&M (MEUR),Variable O&M (MEUR),Cost per unit (MEUR),Production (kton or GWh),Electricity consumption (GWh),Production cost fuel (EUR/kg),Load average,Full load hours,Average electricity cost (EUR/MWh)
H2 user (ammonia plant),14.216538553986286,59.59572961831051,5.582855184257465,6.198410809538021,0.0,11.781265993795486,100.00000000001353,38.00000000000514,0.9258909208651186,0.8073991095471471,7034.061042374746,31.047815924698508
Water supply,57.746855068412046,0.0,0.0,0.0,0.0,0.0,160.40392591881707,0.0,0.0,0.3188370553663142,2777.7084263513293,31.047815924698508
Electrolyser AEC,6.487859166936093,366.34994357938035,34.31921540123524,7.32479299947085,0.0,41.64400840070609,18.0213810769791,928.1011254644236,0.0,0.3188370553663142,2777.7084263513293,31.047815924698508
H2 pipeline to demand,2.5615384781957276,0.0,0.0,0.0,0.0,0.0,18.01801801801787,0.0,0.0,0.8073991095470312,7034.061042373736,31.047815924698508
H2 storage compressor,309.32818243198125,0.0,0.0,0.0,0.0,0.0,164.12782727885644,154.28015764212503,0.0,0.06090386636695387,530.5944837889022,31.047815924698508
H2 storage valve,307.3053163125461,0.0,0.0,0.0,0.0,0.0,164.1244642198952,0.0,0.0,0.061303515625347575,534.0762281280281,31.047815924698508
H2 underground pipe,37.36732179147874,17.21719621819762,1.4073828256222651,0.037056276466457726,0.0,1.4444391020887228,181.66401791550356,0.0,0.0,0.558031964823313,4861.574477540703,31.047815924698508
Solar PV fixed support,617.9554255791704,339.8754840685437,29.162426226536535,5.623394372770451,0.0,34.78582059930699,1120.3950926427292,0.0,0.0,0.20811154890521605,1813.0678140622422,31.047815924698508
Electricity to the grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.047815924698508
Charge batteries,55.23814470103843,0.0,0.0,0.0,0.03843998349076599,0.03843998349076599,18.431315744668623,0.0,0.0,0.038300054230358094,333.6700724548797,31.047815924698508
Discharge batteries,55.23814470103843,0.0,0.0,0.0,0.0,0.0,18.41750620849336,0.0,0.0,0.038271358178934775,333.42007245487974,31.047815924698508
Batteries,69.04768087629803,24.983504032406877,2.544625074261048,0.35049293289617645,0.0,2.8951180071572242,341.5283939881561,0.0,0.0,0.5677535425971799,4946.268863106631,31.047815924698508
