Type of unit,"Installed capacity (MW, t/h, MWh, t)",Total investment (MEUR),Annualised investment (MEUR),Fixed O&M (MEUR),Variable O&M (MEUR),Cost per unit (MEUR),Production (kton or GWh),Electricity consumption (GWh),Production cost fuel (EUR/kg),Load average,Full load hours,Average electricity cost (EUR/MWh)
H2 user (ammonia plant),13.97777724204657,58.59484219865921,5.48909327286807,6.094310877532303,0.0,11.583404150400373,99.9999999999875,37.99999999999525,0.9283469439235916,0.8211906922368153,7154.213310767135,33.73923962966537
Water supply,55.6096005392809,0.0,0.0,0.0,0.0,0.0,160.40249020438924,0.0,0.0,0.33108801809018884,2884.438813601725,33.73923962966537
Electrolyser AEC,6.247738620588208,352.79105668875434,33.04903543272229,7.053696902644087,0.0,40.102732335366376,18.02121977446313,928.0928183848512,0.0,0.33108801809018884,2884.438813601725,33.73923962966537
H2 pipeline to demand,2.5185184219903727,0.0,0.0,0.0,0.0,0.0,18.01801801801791,0.0,0.0,0.821190692236913,7154.213310767986,33.73923962966537
H2 storage compressor,218.33489615349325,0.0,0.0,0.0,0.0,0.0,129.5230689987609,121.75168485883523,0.0,0.06809357027164781,593.2311842065957,33.73923962966537
H2 storage valve,215.59814329127448,0.0,0.0,0.0,0.0,0.0,129.51986724231566,0.0,0.0,0.06895622965929368,600.7466727917665,33.73923962966537
H2 underground pipe,35.575071613543535,16.391407226473657,1.3398804733338099,0.0352789449664579,0.0,1.3751594183002678,171.60913598637953,0.0,0.0,0.5537028450115726,4823.859185740821,33.73923962966537
Solar PV fixed support,652.0228033509911,358.6125418430451,30.77012696008239,5.9334075104940185,0.0,36.70353447057641,1087.8589699545175,0.0,0.0,0.1915102157943067,1668.437,33.73923962966537
Electricity to the grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.73923962966537
Charge batteries,58.030029498238235,0.0,0.0,0.0,0.03697178208264893,0.03697178208264893,17.727338238115504,0.0,0.0,0.035064921667500935,305.48559756726814,33.73923962966537
Discharge batteries,41.93217728548659,0.0,0.0,0.0,0.0,0.0,17.712871527280146,0.0,0.0,0.04848681896396472,422.41716681406064,33.73923962966537
Batteries,72.33355417677458,26.17243069599036,2.6657198812860257,0.3671723543567255,0.0,3.032892235642751,364.75269998953206,0.0,0.0,0.578816420944334,5042.648659267038,33.73923962966537
