Time,Ammonia produced (H2 end-user) (kg/h),Water supply (kg/h),H2_from_AEC (kg/h),H2_pipeline_to_demand (kg/h),H2_to_storage (kg/h),H2_from_storage (kg/h),H2_storage_undergroundpipes (kg),PV fixed support (kWh),Power_to_the_grid (kWh),Electricity_to_batteries (kWh),Electricity_from_batteries (kWh),Electricity_stored (kWh),Electricity consumption
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,439.81679208901306,705.3517476178657,79.24626884486722,79.24626884486722,0.0,0.0,0.0,4248.313226504487,0.0,0.0,0.0,0.0,4248.313226504487
9,14770.061447911075,23687.337186977755,2661.272332956951,2661.272332956951,0.0,0.0,0.0,142668.14849748916,0.0,0.0,0.0,0.0,142668.14849748916
10,16269.149629942167,46951.487088058806,5274.999574343407,2931.3783117012913,2343.621262642114,0.0,2343.621262642114,280047.75892494706,0.0,0.0,0.0,0.0,280047.75892494706
11,16269.149629942167,65417.549422136195,7349.661677577002,2931.3783117012913,4418.28336587571,0.0,6761.904628517824,403939.4119275152,0.0,15096.372308998369,0.0,15096.372308998369,388843.03961851675
12,16269.149629942167,65417.549422136195,7349.661677577002,2931.3783117012913,13947.037059093589,9528.75369321788,11180.187994393535,466956.0581206651,0.0,69155.99003052349,0.0,84252.36233952186,397800.0680901416
13,16269.149629942167,65417.549422136195,7349.661677577002,2931.3783117012913,95737.86108296271,91319.577717087,15598.471360269199,474683.44267257856,0.0,0.0,0.0,84252.36233952186,474683.44267257856
14,16269.149629942167,65417.549422136195,7349.661677577002,2931.3783117012913,43866.10909661735,39447.82573074164,20016.754726144907,425923.9958054139,0.0,0.0,0.0,84252.36233952186,425923.9958054139
15,16269.149629942167,51297.22841671963,5763.24361261845,2931.3783117012913,2831.8653009171594,0.0,22848.62002706207,305651.27629209036,0.0,0.0,0.0,84252.36233952186,305651.2762920903
16,13182.739115968427,21141.684994957723,2375.2683091835,2375.2683091835,0.0,0.0,22848.62002706207,127335.75878701825,0.0,0.0,0.0,84252.36233952186,127335.75878701826
17,5522.252385543587,8856.256607277912,995.0004298276734,995.0004298276734,0.0,0.0,22848.62002706207,0.0,0.0,0.0,53340.978042631745,30911.384296890115,53340.978042631745
18,0.0,0.0,0.0,0.0,0.0,0.0,22848.62002706207,0.0,0.0,0.0,0.0,30911.384296890115,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,22848.62002706207,0.0,0.0,0.0,0.0,30911.384296890115,0.0
20,16269.149629942167,0.0,0.0,2931.3783117012913,0.0,2931.3783117012913,19917.241715360775,0.0,0.0,0.0,6182.276859378024,24729.10743751209,6182.276859378024
21,0.0,0.0,0.0,0.0,0.0,0.0,19917.241715360775,0.0,0.0,0.0,0.0,24729.10743751209,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,19917.241715360775,0.0,0.0,0.0,0.0,24729.10743751209,0.0
23,16269.149629942167,0.0,0.0,2931.3783117012913,0.0,2931.3783117012913,16985.86340365948,0.0,0.0,0.0,6182.27685937802,18546.83057813407,6182.276859378024
24,0.0,0.0,0.0,0.0,0.0,0.0,16985.86340365948,0.0,0.0,0.0,0.0,18546.83057813407,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,16985.86340365948,0.0,0.0,0.0,0.0,18546.83057813407,0.0
26,16269.149629942167,0.0,0.0,2931.3783117012913,0.0,2931.3783117012913,14054.48509195819,0.0,0.0,0.0,6182.276859378024,12364.553718756048,6182.276859378024
27,0.0,0.0,0.0,0.0,0.0,0.0,14054.48509195819,0.0,0.0,0.0,0.0,12364.553718756048,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,14054.48509195819,0.0,0.0,0.0,0.0,12364.553718756048,0.0
29,16269.149629942167,0.0,0.0,2931.3783117012913,0.0,2931.3783117012913,11123.106780256898,0.0,0.0,0.0,6182.276859378024,6182.276859378024,6182.276859378024
30,0.0,0.0,0.0,0.0,0.0,0.0,11123.106780256898,0.0,0.0,0.0,0.0,6182.276859378024,0.0
31,16269.149629942167,0.0,0.0,2931.3783117012913,0.0,2931.3783117012913,8191.728468555606,0.0,0.0,0.0,6182.276859378024,0.0,6182.276859378024
32,8074.279524058237,0.0,0.0,1454.8251394699528,0.0,1454.8251394699528,6736.903329085653,3068.22621914213,0.0,0.0,0.0,0.0,3068.22621914213
33,16269.149629942167,26921.61070126428,3024.642962287042,2931.3783117012913,93.26465058575057,0.0,6830.167979671403,162039.0581887113,0.0,0.0,0.0,0.0,162039.05818871126
34,16269.149629942167,51527.20107153098,5789.081040386506,2931.3783117012913,2857.7027286852135,0.0,9687.870708356617,307006.1910042472,0.0,0.0,0.0,0.0,307006.1910042472
35,16269.149629942167,65417.549422136195,7349.661677577002,2931.3783117012913,4418.28336587571,0.0,14106.154074232327,436090.2268392096,0.0,47247.18722069281,0.0,47247.18722069281,388843.03961851675
36,16269.149629942167,65417.549422136195,7349.661677577002,2931.3783117012913,78716.98194702753,74298.69858115181,18524.437440108042,495688.99140362855,0.0,37005.17511882905,0.0,84252.36233952186,458683.8162847995
37,16269.149629942167,65417.549422136195,7349.661677577002,2931.3783117012913,126053.72904199567,121635.44567611995,22942.720805983758,503180.35855406953,0.0,0.0,0.0,84252.36233952186,503180.35855406953
38,16269.149629942167,65417.549422136195,7349.661677577002,2931.3783117012913,63534.225885989894,59115.942520114186,27361.004171859466,444412.0255874241,0.0,0.0,0.0,84252.36233952186,444412.0255874241
39,16269.149629942167,54096.960027229354,6077.793459059219,2931.3783117012913,3146.4151473579263,0.0,30507.41931921739,322146.2702394442,0.0,0.0,0.0,84252.36233952186,322146.2702394442
40,14164.634629171262,22716.390028219826,2552.186419670498,2552.186419670498,0.0,0.0,30507.41931921739,136820.1617721157,0.0,0.0,0.0,84252.36233952186,136820.1617721157
41,16269.149629942167,6587.575037368784,740.1140554483829,2931.3783117012913,0.0,2191.264256252909,28316.155062964495,0.0,0.0,0.0,44298.15071496974,39954.21162455212,44298.15071496974
42,0.0,0.0,0.0,0.0,0.0,0.0,28316.155062964495,0.0,0.0,0.0,0.0,39954.21162455212,0.0
43,16269.149629942167,0.0,0.0,2931.3783117012913,0.0,2931.3783117012913,25384.776751263205,0.0,0.0,0.0,6182.276859378024,33771.9347651741,6182.276859378024
44,0.0,0.0,0.0,0.0,0.0,0.0,25384.776751263205,0.0,0.0,0.0,0.0,33771.9347651741,0.0
45,16269.149629942167,0.0,0.0,2931.3783117012913,0.0,2931.3783117012913,22453.39843956191,0.0,0.0,0.0,6182.276859378024,27589.657905796073,6182.276859378024
46,0.0,0.0,0.0,0.0,0.0,0.0,22453.39843956191,0.0,0.0,0.0,0.0,27589.657905796073,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,22453.39843956191,0.0,0.0,0.0,0.0,27589.657905796073,0.0
48,16269.149629942167,0.0,0.0,2931.3783117012913,0.0,2931.3783117012913,19522.02012786062,0.0,0.0,0.0,6182.276859378024,21407.38104641805,6182.276859378024
49,0.0,0.0,0.0,0.0,0.0,0.0,19522.02012786062,0.0,0.0,0.0,0.0,21407.38104641805,0.0
50,16269.149629942167,0.0,0.0,2931.3783117012913,0.0,2931.3783117012913,16590.641816159325,0.0,0.0,0.0,6182.276859378024,15225.104187040026,6182.276859378024
51,0.0,0.0,0.0,0.0,0.0,0.0,16590.641816159325,0.0,0.0,0.0,0.0,15225.104187040026,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,16590.641816159325,0.0,0.0,0.0,0.0,15225.104187040026,0.0
53,16269.149629942167,0.0,0.0,2931.3783117012913,0.0,2931.3783117012913,13659.263504458033,0.0,0.0,0.0,6182.276859378022,9042.827327662004,6182.276859378024
54,0.0,0.0,0.0,0.0,0.0,0.0,13659.263504458033,0.0,0.0,0.0,0.0,9042.827327662004,0.0
55,16269.149629942167,0.0,0.0,2931.3783117012913,0.0,2931.3783117012913,10727.885192756741,0.0,0.0,0.0,6182.276859378024,2860.55046828398,6182.276859378024
56,16269.149629942167,0.0,0.0,2931.3783117012913,0.0,2931.3783117012913,7796.506881055449,3321.7263910940437,0.0,0.0,2860.55046828398,0.0,6182.276859378024
57,16269.149629942167,28826.674499830508,3238.6768800559576,2931.3783117012913,307.2985683546665,0.0,8103.805449410116,173262.99683651325,0.0,0.0,0.0,0.0,173262.99683651322
58,16269.149629942167,55901.13259658803,6280.492247226665,2931.3783117012913,3349.1139355253727,0.0,11452.919384935489,332775.7946909451,0.0,0.0,0.0,0.0,332775.7946909451
59,16269.149629942167,65417.549422136195,7349.661677577002,2931.3783117012913,4418.28336587571,0.0,15871.202750811199,438240.607608181,0.0,49397.56798966421,0.0,49397.56798966421,388843.03961851675
60,16269.149629942167,65417.549422136195,7349.661677577002,2931.3783117012913,81832.2628569281,77413.97949105239,20289.486116686905,496466.9746899637,0.0,34854.79434985765,0.0,84252.36233952186,461612.180340106
61,16269.149629942167,65417.549422136195,7349.661677577002,2931.3783117012913,123012.84290009267,118594.55953421695,24707.76948256263,500321.9255806807,0.0,0.0,0.0,84252.36233952186,500321.9255806807
62,16269.149629942167,65417.549422136195,7349.661677577002,2931.3783117012913,62762.380168014555,58344.09680213885,29126.05284843834,443686.4906125273,0.0,0.0,0.0,84252.36233952186,443686.4906125273
63,16269.149629942167,53825.44392509725,6047.288624984676,2931.3783117012913,3115.9103132833843,0.0,32241.963161721724,320546.5967405752,0.0,0.0,0.0,84252.36233952186,320546.5967405752
64,14177.304248696459,22736.708802842564,2554.469233999362,2554.469233999362,0.0,0.0,32241.963161721724,136942.5411654718,0.0,0.0,0.0,84252.36233952186,136942.5411654718
65,2332.2365322703276,3740.300833175489,420.2227986072662,420.2227986072662,0.0,0.0,32241.963161721724,0.0,0.0,0.0,22527.724010536935,61724.638328984925,22527.724010536935
66,16269.149629942167,0.0,0.0,2931.3783117012913,0.0,2931.3783117012913,29310.58485002043,0.0,0.0,0.0,6182.27685937802,55542.361469606905,6182.276859378024
67,0.0,0.0,0.0,0.0,0.0,0.0,29310.58485002043,0.0,0.0,0.0,0.0,55542.361469606905,0.0
68,16269.149629942167,0.0,0.0,2931.3783117012913,0.0,2931.3783117012913,26379.206538319137,0.0,0.0,0.0,6182.276859378024,49360.08461022888,6182.276859378024
69,0.0,0.0,0.0,0.0,0.0,0.0,26379.206538319137,0.0,0.0,0.0,0.0,49360.08461022888,0.0
70,16269.149629942167,0.0,0.0,2931.3783117012913,0.0,2931.3783117012913,23447.828226617843,0.0,0.0,0.0,6182.276859378024,43177.80775085086,6182.276859378024
71,0.0,0.0,0.0,0.0,0.0,0.0,23447.828226617843,0.0,0.0,0.0,0.0,43177.80775085086,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,23447.828226617843,0.0,0.0,0.0,0.0,43177.80775085086,0.0
73,16269.149629942167,0.0,0.0,2931.3783117012913,0.0,2931.3783117012913,20516.44991491655,0.0,0.0,0.0,6182.276859378024,36995.53089147284,6182.276859378024
74,0.0,0.0,0.0,0.0,0.0,0.0,20516.44991491655,0.0,0.0,0.0,0.0,36995.53089147284,0.0
