Time,Ammonia produced (H2 end-user) (kg/h),Water supply (kg/h),H2_from_AEC (kg/h),H2_pipeline_to_demand (kg/h),H2_to_storage (kg/h),H2_from_storage (kg/h),H2_storage_undergroundpipes (kg),PV fixed support (kWh),Power_to_the_grid (kWh),Electricity_to_batteries (kWh),Electricity_from_batteries (kWh),Electricity_stored (kWh),Electricity consumption
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,12286.87514829808,19704.952185774157,2213.8513780717267,2213.8513780717262,0.0,0.0,0.0,118682.35852704718,0.0,0.0,0.0,0.0,118682.35852704718
10,16341.16806771828,46508.33184508409,5225.211082795197,2944.3546067960865,2280.8564759991095,0.0,2280.8564759991095,277452.01971712476,0.0,0.0,0.0,0.0,277452.01971712476
11,16341.16806771828,65549.10482555152,7364.441927150713,2944.3546067960865,4420.087320354627,0.0,6700.943796353737,399517.9394602344,0.0,9884.654265106365,0.0,9884.654265106365,389633.28519512806
12,16341.16806771828,65549.10482555152,7364.441927150713,2944.3546067960865,4420.087320354627,0.0,11121.031116708364,462217.7396851567,0.0,72584.45449002861,0.0,82469.10875513498,389633.28519512806
13,16341.16806771828,65549.10482555152,7364.441927150713,2944.3546067960865,102405.21820452904,97985.13088417442,15541.118437062993,484796.98357416334,0.0,3057.675347911354,0.0,85526.78410304633,481739.308226252
14,16341.16806771828,65549.10482555152,7364.441927150713,2944.3546067960865,75216.80313032982,70796.7158099752,19961.205757417614,456182.1980565047,0.0,0.0,0.0,85526.78410304633,456182.1980565047
15,16341.16806771828,62141.40757137715,6981.587140644224,2944.3546067960865,4037.2325338481355,0.0,23998.43829126575,369556.3801907277,0.0,0.0,0.0,85526.78410304633,369556.3801907277
16,16341.16806771828,31590.660883953085,3549.210750312129,2944.3546067960865,604.8561435160417,0.0,24603.29443478179,189562.56228171266,0.0,0.0,0.0,85526.78410304633,189562.56228171266
17,16341.16806771828,8623.885261056834,968.8935090797354,2944.3546067960865,0.0,1975.4610977163513,22627.833337065425,0.0,0.0,0.0,56107.65958333932,29419.124519707006,56107.65958333932
18,0.0,0.0,0.0,0.0,0.0,0.0,22627.833337065425,0.0,0.0,0.0,0.0,29419.124519707006,0.0
19,16341.16806771828,0.0,0.0,2944.3546067960865,0.0,2944.3546067960865,19683.47873026934,0.0,0.0,0.0,6209.643865732946,23209.48065397406,6209.643865732946
20,16341.16806771828,0.0,0.0,2944.3546067960865,0.0,2944.3546067960865,16739.124123473255,0.0,0.0,0.0,6209.643865732946,16999.836788241115,6209.643865732946
21,0.0,0.0,0.0,0.0,0.0,0.0,16739.124123473255,0.0,0.0,0.0,0.0,16999.836788241115,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,16739.124123473255,0.0,0.0,0.0,0.0,16999.836788241115,0.0
23,16341.16806771828,0.0,0.0,2944.3546067960865,0.0,2944.3546067960865,13794.769516677168,0.0,0.0,0.0,6209.643865732946,10790.19292250817,6209.643865732946
24,0.0,0.0,0.0,0.0,0.0,0.0,13794.769516677168,0.0,0.0,0.0,0.0,10790.19292250817,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,13794.769516677168,0.0,0.0,0.0,0.0,10790.19292250817,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,13794.769516677168,0.0,0.0,0.0,0.0,10790.19292250817,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,13794.769516677168,0.0,0.0,0.0,0.0,10790.19292250817,0.0
28,16341.16806771828,0.0,0.0,2944.3546067960865,0.0,2944.3546067960865,10850.414909881081,0.0,0.0,0.0,6209.643865732946,4580.549056775224,6209.643865732946
29,0.0,0.0,0.0,0.0,0.0,0.0,10850.414909881081,0.0,0.0,0.0,0.0,4580.549056775224,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,10850.414909881081,0.0,0.0,0.0,0.0,4580.549056775224,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,10850.414909881081,0.0,0.0,0.0,0.0,4580.549056775224,0.0
32,12054.076465197959,0.0,0.0,2171.9056694050378,0.0,2171.9056694050378,8678.509240476043,0.0,0.0,0.0,4580.549056775224,0.0,4580.549056775224
33,11693.015253907099,18752.555365363383,2106.8495952985763,2106.8495952985763,0.0,0.0,8678.509240476043,112946.09995436139,0.0,0.0,0.0,0.0,112946.09995436139
34,16341.16806771828,46869.56186457419,5265.795275484911,2944.3546067960865,2321.440668688824,0.0,10999.94990916488,279580.2547817734,0.0,0.0,0.0,0.0,279580.2547817734
35,16341.16806771828,65549.10482555152,7364.441927150713,2944.3546067960865,4420.087320354627,0.0,15420.037229519507,397713.9277062158,0.0,8080.642511087761,0.0,8080.642511087761,389633.28519512806
36,16341.16806771828,65549.10482555152,7364.441927150713,2944.3546067960865,4420.087320354627,0.0,19840.124549874134,462616.7837597783,0.0,72983.49856465025,0.0,81064.141075738,389633.28519512806
37,16341.16806771828,65549.10482555152,7364.441927150713,2944.3546067960865,100539.12113570898,96119.03381535436,24260.21187022875,484447.82000886946,0.0,4462.643027308324,0.0,85526.78410304633,479985.1769815611
38,16341.16806771828,65549.10482555152,7364.441927150713,2944.3546067960865,84671.10534155571,80251.01802120109,28680.299190583388,465069.24213505705,0.0,0.0,0.0,85526.78410304633,465069.24213505705
39,16341.16806771828,62979.57410097532,7075.755150244578,2944.3546067960865,4131.400543448491,0.0,32811.69973403188,374494.55061417026,0.0,0.0,0.0,85526.78410304633,374494.5506141703
40,16341.16806771828,30797.648106791177,3460.115764797989,2944.3546067960865,515.761158001902,0.0,33327.46089203378,184890.42124135117,0.0,0.0,0.0,85526.78410304633,184890.42124135117
41,3368.121558116655,5401.591003206135,606.8687492102092,606.8687492102081,0.0,0.0,33327.46089203378,0.0,0.0,0.0,32533.626776410103,52993.157326636225,32533.626776410103
42,0.0,0.0,0.0,0.0,0.0,0.0,33327.46089203378,0.0,0.0,0.0,0.0,52993.157326636225,0.0
43,16341.16806771828,0.0,0.0,2944.3546067960865,0.0,2944.3546067960865,30383.106285237693,0.0,0.0,0.0,6209.643865732946,46783.513460903276,6209.643865732946
44,0.0,0.0,0.0,0.0,0.0,0.0,30383.106285237693,0.0,0.0,0.0,0.0,46783.513460903276,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,30383.106285237693,0.0,0.0,0.0,0.0,46783.513460903276,0.0
46,16341.16806771828,0.0,0.0,2944.3546067960865,0.0,2944.3546067960865,27438.751678441608,0.0,0.0,0.0,6209.643865732946,40573.86959517033,6209.643865732946
47,0.0,0.0,0.0,0.0,0.0,0.0,27438.751678441608,0.0,0.0,0.0,0.0,40573.86959517033,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,27438.751678441608,0.0,0.0,0.0,0.0,40573.86959517033,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,27438.751678441608,0.0,0.0,0.0,0.0,40573.86959517033,0.0
50,16341.16806771828,0.0,0.0,2944.3546067960865,0.0,2944.3546067960865,24494.39707164552,0.0,0.0,0.0,6209.643865732946,34364.22572943738,6209.643865732946
51,0.0,0.0,0.0,0.0,0.0,0.0,24494.39707164552,0.0,0.0,0.0,0.0,34364.22572943738,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,24494.39707164552,0.0,0.0,0.0,0.0,34364.22572943738,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,24494.39707164552,0.0,0.0,0.0,0.0,34364.22572943738,0.0
54,16341.16806771828,0.0,0.0,2944.3546067960865,0.0,2944.3546067960865,21550.042464849434,0.0,0.0,0.0,6209.643865732946,28154.581863704432,6209.643865732946
55,0.0,0.0,0.0,0.0,0.0,0.0,21550.042464849434,0.0,0.0,0.0,0.0,28154.581863704432,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,21550.042464849434,0.0,0.0,0.0,0.0,28154.581863704432,0.0
57,16341.16806771828,3692.6844205245116,414.8730946459289,2944.3546067960865,0.0,2529.481512150158,19020.560952699278,27575.608239998284,0.0,0.0,0.0,28154.581863704432,27575.608239998284
58,7163.327392777032,11488.114110549057,1290.6896203201866,1290.6896203201861,0.0,0.0,19020.560952699278,69192.57985574487,0.0,0.0,0.0,28154.581863704432,69192.57985574487
59,16341.16806771828,26206.983594090667,2944.3546067960865,2944.3546067960865,0.0,0.0,19020.560952699278,129689.32425202691,0.0,0.0,28154.581863704432,0.0,157843.9061157314
60,16341.16806771828,31500.635568626127,3539.0964061351456,2944.3546067960865,594.7417993390584,0.0,19615.302752038337,274558.950176118,0.0,85526.78410304633,0.0,85526.78410304633,189032.16607307168
61,16341.16806771828,27346.208154944186,3072.3464862079795,2944.3546067960865,127.99187941189251,0.0,19743.29463145023,164555.80027209106,0.0,0.0,0.0,85526.78410304633,164555.80027209106
62,8366.539178803981,13417.752885816095,1507.4845367214384,1507.4845367214382,0.0,0.0,19743.29463145023,80814.73852909959,0.0,0.0,0.0,85526.78410304633,80814.73852909959
63,16341.16806771828,7718.625866687835,867.1876161223782,2944.3546067960865,0.0,2077.1669906737116,17666.127640776518,50869.80609603543,0.0,0.0,0.0,85526.78410304633,50869.80609603543
64,11279.03466086063,18088.63816156979,2032.2584974523659,2032.2584974523659,0.0,0.0,17666.127640776518,108947.34578992389,0.0,0.0,0.0,85526.78410304633,108947.34578992389
65,4997.155534387882,8014.137824427176,900.3883845743933,900.3883845743932,0.0,0.0,17666.127640776518,0.0,0.0,0.0,48268.92090864865,37257.86319439768,48268.92090864865
66,0.0,0.0,0.0,0.0,0.0,0.0,17666.127640776518,0.0,0.0,0.0,0.0,37257.86319439768,0.0
67,16341.16806771828,0.0,0.0,2944.3546067960865,0.0,2944.3546067960865,14721.773033980433,0.0,0.0,0.0,6209.643865732946,31048.21932866473,6209.643865732946
68,16341.16806771828,0.0,0.0,2944.3546067960865,0.0,2944.3546067960865,11777.418427184346,0.0,0.0,0.0,6209.643865732946,24838.575462931785,6209.643865732946
69,0.0,0.0,0.0,0.0,0.0,0.0,11777.418427184346,0.0,0.0,0.0,0.0,24838.575462931785,0.0
70,16341.16806771828,0.0,0.0,2944.3546067960865,0.0,2944.3546067960865,8833.063820388259,0.0,0.0,0.0,6209.643865732946,18628.93159719884,6209.643865732946
71,0.0,0.0,0.0,0.0,0.0,0.0,8833.063820388259,0.0,0.0,0.0,0.0,18628.93159719884,0.0
72,16341.16806771828,0.0,0.0,2944.3546067960865,0.0,2944.3546067960865,5888.709213592173,0.0,0.0,0.0,6209.643865732946,12419.287731465893,6209.643865732946
73,0.0,0.0,0.0,0.0,0.0,0.0,5888.709213592173,0.0,0.0,0.0,0.0,12419.287731465893,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,5888.709213592173,0.0,0.0,0.0,0.0,12419.287731465893,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,5888.709213592173,0.0,0.0,0.0,0.0,12419.287731465893,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,5888.709213592173,0.0,0.0,0.0,0.0,12419.287731465893,0.0
