Time,Ammonia produced (H2 end-user) (kg/h),Water supply (kg/h),H2_from_AEC (kg/h),H2_pipeline_to_demand (kg/h),H2_to_storage (kg/h),H2_from_storage (kg/h),H2_storage_undergroundpipes (kg),PV fixed support (kWh),Power_to_the_grid (kWh),Electricity_to_batteries (kWh),Electricity_from_batteries (kWh),Electricity_stored (kWh),Electricity consumption
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1508.6363075133029,2419.4602733788042,271.82636171410866,271.82636171410866,0.0,0.0,0.0,14572.339425131651,0.0,0.0,0.0,0.0,14572.339425131651
10,16762.62563901418,26882.891926395037,3020.2929079304827,3020.2929079304827,0.0,0.0,0.0,161914.88250124524,0.0,0.0,0.0,0.0,161914.88250124524
11,16859.953914120648,53262.294802461496,5984.018821056549,3037.8295340757927,2946.189286980756,0.0,2946.189286980756,317353.16970154,0.0,0.0,0.0,0.0,317353.16970154
12,16859.953914120648,65354.449254123865,7342.572373700817,3037.8295340757927,4304.742839625023,0.0,7250.93212660578,388595.7180022054,0.0,0.0,0.0,0.0,388595.7180022054
13,16859.953914120648,69476.77463539883,7805.715630287059,3037.8295340757927,4767.886096211267,0.0,12018.818222817048,412882.950377588,0.0,0.0,0.0,0.0,412882.950377588
14,16859.953914120648,69476.77463539883,7805.715630287059,3037.8295340757927,4767.886096211267,0.0,16786.704319028315,412882.950377588,0.0,0.0,0.0,0.0,412882.950377588
15,16859.953914120648,33858.991475895906,3804.057692316905,3037.8295340757927,766.2281582411136,0.0,17552.932477269427,293065.9373271364,0.0,90029.92921670327,0.0,90029.92921670327,203036.0081104331
16,15086.363075133031,24194.60273378804,2718.2636171410863,2718.2636171410863,0.0,0.0,17552.932477269427,145723.3942513165,0.0,0.0,0.0,90029.92921670327,145723.3942513165
17,1341.0100511150533,2150.6313541018512,241.623432633343,241.623432633343,0.0,0.0,17552.932477269427,12953.190600040884,0.0,0.0,0.0,90029.92921670327,12953.190600040884
18,6723.296800706407,10782.41948336546,1211.4048289561094,1211.4048289561094,0.0,0.0,17552.932477269427,0.0,0.0,0.0,64942.201475508075,25087.727741195195,64942.20147550807
19,0.0,0.0,0.0,0.0,0.0,0.0,17552.932477269427,0.0,0.0,0.0,0.0,25087.727741195195,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,17552.932477269427,0.0,0.0,0.0,0.0,25087.727741195195,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,17552.932477269427,0.0,0.0,0.0,0.0,25087.727741195195,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,17552.932477269427,0.0,0.0,0.0,0.0,25087.727741195195,0.0
23,16859.953914120648,0.0,0.0,3037.8295340757927,0.0,3037.8295340757927,14515.102943193635,0.0,0.0,0.0,6406.7824873658465,18680.945253829348,6406.7824873658465
24,0.0,0.0,0.0,0.0,0.0,0.0,14515.102943193635,0.0,0.0,0.0,0.0,18680.945253829348,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,14515.102943193635,0.0,0.0,0.0,0.0,18680.945253829348,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,14515.102943193635,0.0,0.0,0.0,0.0,18680.945253829348,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,14515.102943193635,0.0,0.0,0.0,0.0,18680.945253829348,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,14515.102943193635,0.0,0.0,0.0,0.0,18680.945253829348,0.0
29,16859.953914120648,0.0,0.0,3037.8295340757927,0.0,3037.8295340757927,11477.273409117843,0.0,0.0,0.0,6406.7824873658465,12274.162766463502,6406.7824873658465
30,0.0,0.0,0.0,0.0,0.0,0.0,11477.273409117843,0.0,0.0,0.0,0.0,12274.162766463502,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,11477.273409117843,0.0,0.0,0.0,0.0,12274.162766463502,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,11477.273409117843,0.0,0.0,0.0,0.0,12274.162766463502,0.0
33,838.1312819486818,1344.144596316501,151.0146453961589,151.0146453961589,0.0,0.0,11477.273409117843,8095.744125042683,0.0,0.0,0.0,12274.162766463502,8095.744125042683
34,16859.953914120648,27038.981166673722,3037.8295340757927,3037.8295340757927,0.0,0.0,11477.273409117843,150580.84072580567,0.0,0.0,12274.162766463502,0.0,162855.00349226917
35,16859.953914120648,50239.25618967053,5644.380432909485,3037.8295340757927,2606.55089883369,0.0,14083.824307951523,299542.5326271079,0.0,0.0,0.0,0.0,299542.532627108
36,16859.953914120648,68102.66617491847,7651.334544752091,3037.8295340757927,4613.5050106762965,0.0,18697.32931862782,404787.2062521342,0.0,0.0,0.0,0.0,404787.20625213423
37,16859.953914120648,69476.77463539883,7805.715630287059,3037.8295340757927,4767.886096211267,0.0,23465.215414839087,412882.950377588,0.0,0.0,0.0,0.0,412882.950377588
38,16859.953914120648,67827.84448292208,7620.458327656296,3037.8295340757927,4582.628793580504,0.0,28047.844208419592,403168.05742763076,0.0,0.0,0.0,0.0,403168.05742763076
39,16859.953914120648,33584.16978373336,3773.181475202444,3037.8295340757927,735.3519411266525,0.0,28783.196149546246,291446.78850165405,0.0,90029.92921670327,0.0,90029.92921670327,201416.85928495077
40,15253.989331470471,24463.431652967472,2748.4665462108956,2748.4665462108956,0.0,0.0,28783.196149546246,147342.5430758199,0.0,0.0,0.0,90029.92921670327,147342.5430758199
41,16859.953914120648,1131.417184107403,127.11472063446674,3037.8295340757927,0.0,2910.714813441326,25872.48133610492,12953.190600040884,0.0,0.0,0.0,90029.92921670327,12953.190600040884
42,6667.453896420028,10692.861988429064,1201.3430444000053,1201.3430444000053,0.0,0.0,25872.48133610492,0.0,0.0,0.0,64402.79926723988,25627.129949463386,64402.79926723988
43,0.0,0.0,0.0,0.0,0.0,0.0,25872.48133610492,0.0,0.0,0.0,0.0,25627.129949463386,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,25872.48133610492,0.0,0.0,0.0,0.0,25627.129949463386,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,25872.48133610492,0.0,0.0,0.0,0.0,25627.129949463386,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,25872.48133610492,0.0,0.0,0.0,0.0,25627.129949463386,0.0
47,16859.953914120648,0.0,0.0,3037.8295340757927,0.0,3037.8295340757927,22834.65180202913,0.0,0.0,0.0,6406.7824873658465,19220.34746209754,6406.7824873658465
48,0.0,0.0,0.0,0.0,0.0,0.0,22834.65180202913,0.0,0.0,0.0,0.0,19220.34746209754,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,22834.65180202913,0.0,0.0,0.0,0.0,19220.34746209754,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,22834.65180202913,0.0,0.0,0.0,0.0,19220.34746209754,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,22834.65180202913,0.0,0.0,0.0,0.0,19220.34746209754,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,22834.65180202913,0.0,0.0,0.0,0.0,19220.34746209754,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,22834.65180202913,0.0,0.0,0.0,0.0,19220.34746209754,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,22834.65180202913,0.0,0.0,0.0,0.0,19220.34746209754,0.0
55,16859.953914120648,0.0,0.0,3037.8295340757927,0.0,3037.8295340757927,19796.822267953336,0.0,0.0,0.0,6406.7824873658465,12813.564974731693,6406.7824873658465
56,0.0,0.0,0.0,0.0,0.0,0.0,19796.822267953336,0.0,0.0,0.0,0.0,12813.564974731693,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,19796.822267953336,0.0,0.0,0.0,0.0,12813.564974731693,0.0
58,1005.7575383388237,1612.9735155804515,181.21757447546372,181.21757447546372,0.0,0.0,19796.822267953336,9714.892950055135,0.0,0.0,0.0,12813.564974731693,9714.892950055135
59,16859.953914120648,12324.931384339892,1384.706041030587,3037.8295340757927,0.0,1653.1234930452058,18143.69877490813,77719.14360044108,0.0,0.0,0.0,12813.564974731693,77719.14360044108
60,16594.999382575388,26614.063007053075,2990.089978842413,2990.089978842413,0.0,0.0,18143.69877490813,160295.7336757629,0.0,0.0,0.0,12813.564974731693,160295.7336757629
61,14751.110562255453,23656.94489510411,2657.8577589649467,2657.8577589649467,0.0,0.0,18143.69877490813,142485.09660035183,0.0,0.0,0.0,12813.564974731693,142485.09660035183
62,16859.953914120648,21559.580599552424,2422.218880359715,3037.8295340757927,0.0,615.6106537160776,17528.088121192053,131151.0548258912,0.0,0.0,0.0,12813.564974731693,131151.05482589116
63,8213.686563098705,13172.61704390431,1479.9435248826494,1479.9435248826494,0.0,0.0,17528.088121192053,79338.29242543396,0.0,0.0,0.0,12813.564974731693,79338.29242543396
64,4358.282666131525,6989.551900843206,785.2761560597341,785.2761560597341,0.0,0.0,17528.088121192053,42097.869450206286,0.0,0.0,0.0,12813.564974731693,42097.869450206286
65,1341.0100511150533,2150.6313541018512,241.623432633343,241.623432633343,0.0,0.0,17528.088121192053,12953.190600040884,0.0,0.0,0.0,12813.564974731693,12953.190600040884
66,0.0,0.0,0.0,0.0,0.0,0.0,17528.088121192053,0.0,0.0,0.0,0.0,12813.564974731693,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,17528.088121192053,0.0,0.0,0.0,0.0,12813.564974731693,0.0
68,16859.953914120648,0.0,0.0,3037.8295340757927,0.0,3037.8295340757927,14490.258587116194,0.0,0.0,0.0,6406.7824873658465,6406.7824873658465,6406.7824873658465
69,0.0,0.0,0.0,0.0,0.0,0.0,14490.258587116194,0.0,0.0,0.0,0.0,6406.7824873658465,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,14490.258587116194,0.0,0.0,0.0,0.0,6406.7824873658465,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,14490.258587116194,0.0,0.0,0.0,0.0,6406.7824873658465,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,14490.258587116194,0.0,0.0,0.0,0.0,6406.7824873658465,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,14490.258587116194,0.0,0.0,0.0,0.0,6406.7824873658465,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,14490.258587116194,0.0,0.0,0.0,0.0,6406.7824873658465,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,14490.258587116194,0.0,0.0,0.0,0.0,6406.7824873658465,0.0
76,16859.953914120648,0.0,0.0,3037.8295340757927,0.0,3037.8295340757927,11452.429053040401,0.0,0.0,0.0,6406.7824873658465,0.0,6406.7824873658465
77,0.0,0.0,0.0,0.0,0.0,0.0,11452.429053040401,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,11452.429053040401,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,11452.429053040401,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,11452.429053040401,0.0,0.0,0.0,0.0,0.0,0.0
