Time,Ammonia produced (H2 end-user) (kg/h),Water supply (kg/h),H2_from_AEC (kg/h),H2_pipeline_to_demand (kg/h),H2_to_storage (kg/h),H2_from_storage (kg/h),H2_storage_undergroundpipes (kg),PV fixed support (kWh),Power_to_the_grid (kWh),Electricity_to_batteries (kWh),Electricity_from_batteries (kWh),Electricity_stored (kWh),Electricity consumption
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2762.5237293865,4430.369588899715,497.75202331288307,497.75202331288284,0.0,0.0,0.0,26683.98821778035,0.0,0.0,0.0,0.0,26683.98821778035
9,15790.348361480685,28531.724496700488,3205.5392472043,2845.107812879403,360.43143432489603,0.0,360.43143432489603,171424.4091566495,0.0,0.0,0.0,0.0,171424.4091566495
10,15790.348361480685,51177.38461219675,5749.779161180305,2845.107812879403,2904.6713483009025,0.0,3265.1027826257987,304844.3502455512,0.0,0.0,0.0,0.0,304844.3502455512
11,15790.348361480685,60510.141508280045,6798.3143984552635,2845.107812879403,40082.39759611024,36129.19101053438,7218.309368201657,393790.97763815237,0.0,0.0,0.0,0.0,393790.97763815237
12,15790.348361480685,60510.141508280045,6798.3143984552635,2845.107812879403,86534.21460965443,82581.00802407858,11171.515953777518,437455.6856308839,0.0,0.0,0.0,0.0,437455.6856308839
13,15790.348361480685,60510.141508280045,6798.3143984552635,2845.107812879403,7780.970002568459,3827.763416992598,15124.722539353377,435838.4742237457,0.0,72410.8385235226,0.0,72410.8385235226,363427.6357002231
14,15790.348361480685,60510.141508280045,6798.3143984552635,2845.107812879403,27179.115092347965,23225.908506772106,19077.929124929236,381661.8920846158,0.0,0.0,0.0,72410.8385235226,381661.8920846158
15,15790.348361480685,43628.83124036466,4901.69918985497,2845.107812879403,2056.591376975567,0.0,21134.520501904804,260371.03654925065,0.0,0.0,0.0,72410.8385235226,260371.03654925068
16,7617.868465883985,12217.079775450728,1372.5889127718892,1372.5889127718892,0.0,0.0,21134.520501904804,73583.11902478822,0.0,0.0,0.0,72410.8385235226,73583.11902478822
17,15790.348361480685,8366.626313241295,939.9904662926594,2845.107812879403,0.0,1905.1173465867287,19229.403155318076,0.0,0.0,0.0,54409.841391434624,18000.997132087978,54409.841391434624
18,0.0,0.0,0.0,0.0,0.0,0.0,19229.403155318076,0.0,0.0,0.0,0.0,18000.997132087978,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,19229.403155318076,0.0,0.0,0.0,0.0,18000.997132087978,0.0
20,15790.348361480685,0.0,0.0,2845.107812879403,0.0,2845.107812879403,16384.295342438672,0.0,0.0,0.0,6000.33237736266,12000.66475472532,6000.33237736266
21,0.0,0.0,0.0,0.0,0.0,0.0,16384.295342438672,0.0,0.0,0.0,0.0,12000.66475472532,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,16384.295342438672,0.0,0.0,0.0,0.0,12000.66475472532,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,16384.295342438672,0.0,0.0,0.0,0.0,12000.66475472532,0.0
24,15790.348361480685,0.0,0.0,2845.107812879403,0.0,2845.107812879403,13539.18752955927,0.0,0.0,0.0,6000.33237736266,6000.33237736266,6000.33237736266
25,0.0,0.0,0.0,0.0,0.0,0.0,13539.18752955927,0.0,0.0,0.0,0.0,6000.33237736266,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,13539.18752955927,0.0,0.0,0.0,0.0,6000.33237736266,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,13539.18752955927,0.0,0.0,0.0,0.0,6000.33237736266,0.0
28,15790.348361480685,0.0,0.0,2845.107812879403,0.0,2845.107812879403,10694.079716679867,0.0,0.0,0.0,6000.33237736266,0.0,6000.33237736266
29,0.0,0.0,0.0,0.0,0.0,0.0,10694.079716679867,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,10694.079716679867,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,10694.079716679867,0.0,0.0,0.0,0.0,0.0,0.0
32,15790.348361480685,2876.003356807511,323.1189771373239,2845.107812879403,0.0,2521.988835742079,8172.090880937788,22640.95969993484,0.0,0.0,0.0,0.0,22640.959699934843
33,15790.348361480685,25375.056723025253,2850.8876228318873,2845.107812879403,5.779809952483334,0.0,8177.870690890271,152826.47797456017,0.0,0.0,0.0,0.0,152826.47797456017
34,15790.348361480685,47471.7311387519,5333.448993438777,2845.107812879403,2488.3411805593732,0.0,10666.211871449645,283011.99624918547,0.0,0.0,0.0,0.0,283011.99624918547
35,15790.348361480685,60510.141508280045,6798.3143984552635,2845.107812879403,3953.2065855758606,0.0,14619.418457025506,373575.83504892484,0.0,13746.296960674808,0.0,13746.296960674808,359829.5380882501
36,15790.348361480685,60510.141508280045,6798.3143984552635,2845.107812879403,65415.63185270668,61462.42526713082,18572.62504260137,418049.14874522545,0.0,444.93090587243205,0.0,14191.22786654724,417604.217839353
37,15790.348361480685,60510.141508280045,6798.3143984552635,2845.107812879403,3953.2065855758606,0.0,22525.831628177228,418049.14874522545,0.0,58219.61065697536,0.0,72410.8385235226,359829.5380882501
38,15790.348361480685,60510.141508280045,6798.3143984552635,2845.107812879403,9974.73842066501,6021.531835089148,26479.03821375309,365489.77801323385,0.0,0.0,0.0,72410.8385235226,365489.77801323385
39,15790.348361480685,41432.88844128624,4654.9850163785095,2845.107812879403,1809.877203499106,0.0,28288.915417252196,247433.34529214504,0.0,0.0,0.0,72410.8385235226,247433.34529214507
40,7031.87858389291,11277.304408108366,1267.005150250975,1267.0051502509748,0.0,0.0,28288.915417252196,67922.87909980452,0.0,0.0,0.0,72410.8385235226,67922.87909980452
41,3382.1269714697582,5424.052043717563,609.3922471116682,609.3922471116682,0.0,0.0,28288.915417252196,0.0,0.0,0.0,32668.908975409424,39741.92954811318,32668.908975409424
42,15790.348361480685,0.0,0.0,2845.107812879403,0.0,2845.107812879403,25443.807604372792,0.0,0.0,0.0,6000.33237736266,33741.597170750516,6000.33237736266
43,0.0,0.0,0.0,0.0,0.0,0.0,25443.807604372792,0.0,0.0,0.0,0.0,33741.597170750516,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,25443.807604372792,0.0,0.0,0.0,0.0,33741.597170750516,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,25443.807604372792,0.0,0.0,0.0,0.0,33741.597170750516,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,25443.807604372792,0.0,0.0,0.0,0.0,33741.597170750516,0.0
47,15790.348361480685,0.0,0.0,2845.107812879403,0.0,2845.107812879403,22598.69979149339,0.0,0.0,0.0,6000.33237736266,27741.26479338792,6000.33237736266
48,0.0,0.0,0.0,0.0,0.0,0.0,22598.69979149339,0.0,0.0,0.0,0.0,27741.26479338792,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,22598.69979149339,0.0,0.0,0.0,0.0,27741.26479338792,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,22598.69979149339,0.0,0.0,0.0,0.0,27741.26479338792,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,22598.69979149339,0.0,0.0,0.0,0.0,27741.26479338792,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,22598.69979149339,0.0,0.0,0.0,0.0,27741.26479338792,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,22598.69979149339,0.0,0.0,0.0,0.0,27741.26479338792,0.0
54,15790.348361480685,0.0,0.0,2845.107812879403,0.0,2845.107812879403,19753.591978613986,0.0,0.0,0.0,6000.33237736266,21740.932416025258,6000.33237736266
55,0.0,0.0,0.0,0.0,0.0,0.0,19753.591978613986,0.0,0.0,0.0,0.0,21740.932416025258,0.0
56,502.2770417066364,805.521743436312,90.50036787506966,90.50036787506963,0.0,0.0,19753.591978613986,4851.634221414609,0.0,0.0,0.0,21740.932416025258,4851.63422141461
57,5022.770417066364,8055.2174343631195,905.0036787506965,905.0036787506962,0.0,0.0,19753.591978613986,48516.34221414608,0.0,0.0,0.0,21740.932416025258,48516.34221414608
58,15790.348361480685,15872.893351566681,1783.3195680485167,2845.107812879403,0.0,1061.7882448308883,18691.803733783097,97841.29013186127,0.0,0.0,0.0,21740.932416025258,97841.29013186127
59,12305.78752181259,19735.282714189638,2217.259012939206,2217.2590129392056,0.0,0.0,18691.803733783097,118865.0384246579,0.0,0.0,0.0,21740.932416025258,118865.0384246579
60,13477.767285794745,21614.833448874368,2428.4265379810354,2428.4265379810354,0.0,0.0,18691.803733783097,130185.51827462533,0.0,0.0,0.0,21740.932416025258,130185.51827462533
61,13142.915924656985,21077.81895325016,2368.0929593976557,2368.0929593976552,0.0,0.0,18691.803733783097,126951.09546034892,0.0,0.0,0.0,21740.932416025258,126951.09546034892
62,15790.348361480685,17410.159910086586,1956.031465898228,2845.107812879403,0.0,889.076346981175,17802.727386801922,106735.9528711214,0.0,0.0,0.0,21740.932416025258,106735.9528711214
63,15790.348361480685,9164.82109620711,1029.6676501588688,2845.107812879403,0.0,1815.4401627205334,15987.287224081389,59028.2163605444,0.0,0.0,0.0,21740.932416025258,59028.21636054441
64,1171.9797639821518,1879.5507346847278,211.16752504182918,211.16752504182915,0.0,0.0,15987.287224081389,11320.47984996742,0.0,0.0,0.0,21740.932416025258,11320.47984996742
65,0.0,0.0,0.0,0.0,0.0,0.0,15987.287224081389,0.0,0.0,0.0,0.0,21740.932416025258,0.0
66,15790.348361480685,0.0,0.0,2845.107812879403,0.0,2845.107812879403,13142.179411201985,0.0,0.0,0.0,6000.33237736266,15740.600038662596,6000.33237736266
67,0.0,0.0,0.0,0.0,0.0,0.0,13142.179411201985,0.0,0.0,0.0,0.0,15740.600038662596,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,13142.179411201985,0.0,0.0,0.0,0.0,15740.600038662596,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,13142.179411201985,0.0,0.0,0.0,0.0,15740.600038662596,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,13142.179411201985,0.0,0.0,0.0,0.0,15740.600038662596,0.0
71,15790.348361480685,0.0,0.0,2845.107812879403,0.0,2845.107812879403,10297.071598322582,0.0,0.0,0.0,6000.33237736266,9740.267661299937,6000.33237736266
72,0.0,0.0,0.0,0.0,0.0,0.0,10297.071598322582,0.0,0.0,0.0,0.0,9740.267661299937,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,10297.071598322582,0.0,0.0,0.0,0.0,9740.267661299937,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,10297.071598322582,0.0,0.0,0.0,0.0,9740.267661299937,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,10297.071598322582,0.0,0.0,0.0,0.0,9740.267661299937,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,10297.071598322582,0.0,0.0,0.0,0.0,9740.267661299937,0.0
77,15790.348361480685,0.0,0.0,2845.107812879403,0.0,2845.107812879403,7451.9637854431785,0.0,0.0,0.0,6000.33237736266,3739.935283937277,6000.33237736266
78,0.0,0.0,0.0,0.0,0.0,0.0,7451.9637854431785,0.0,0.0,0.0,0.0,3739.935283937277,0.0
