Type of unit,"Installed capacity (MW, t/h, MWh, t)",Total investment (MEUR),Annualised investment (MEUR),Fixed O&M (MEUR),Variable O&M (MEUR),Cost per unit (MEUR),Production (kton or GWh),Electricity consumption (GWh),Production cost fuel (EUR/kg),Load average,Full load hours,Average electricity cost (EUR/MWh)
H2 user (ammonia plant),16.269149629942167,68.20027524871756,6.388918512763783,7.093349238654785,0.0,13.482267751418568,100.00000000000963,38.000000000003666,1.1516201709114398,0.705532915390094,6146.602758878499,44.38170230826529
Water supply,65.41754942213619,0.0,0.0,0.0,0.0,0.0,160.4096036546428,0.0,0.0,0.28146100096565563,2452.088240412792,44.38170230826529
Electrolyser AEC,7.349661677577002,415.01334594774056,38.87794351708894,8.297768033984434,0.0,47.17571155107337,18.022018970599117,928.1339769858547,0.0,0.28146100096565563,2452.088240412792,44.38170230826529
H2 pipeline to demand,2.9313783117012915,0.0,0.0,0.0,0.0,0.0,18.01801801801788,0.0,0.0,0.7055329153900206,6146.60275887786,44.38170230826529
H2 storage compressor,391.24561575240807,0.0,0.0,0.0,0.0,0.0,151.66804447291534,142.56796180454043,0.0,0.044496590665686,387.65429787945646,44.38170230826529
H2 storage valve,391.0096629289282,0.0,0.0,0.0,0.0,0.0,151.6640435203341,0.0,0.0,0.04452226739695535,387.877993562275,44.38170230826529
H2 underground pipe,44.455028680352434,20.48289561522096,1.6743304277038298,0.04408498533280238,0.0,1.7184154130366323,215.70185560365567,0.0,0.0,0.5569486039490165,4852.136237603831,44.38170230826529
Solar PV fixed support,874.1385239721168,480.7761881846642,41.25216668049861,7.954660568146262,0.0,49.20682724864487,1108.7187892628667,0.0,0.0,0.14558722910927455,1268.35594,44.38170230826529
Electricity to the grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.38170230826529
Charge batteries,84.25236233952187,0.0,0.0,0.0,0.04615611206662398,0.04615611206662398,22.131067648627234,0.0,0.0,0.030151048002136138,262.67593019461003,44.38170230826529
Discharge batteries,67.40188987161748,0.0,0.0,0.0,0.0,0.0,22.11421717615933,0.0,0.0,0.03766011395124685,328.0949127432625,44.38170230826529
Batteries,84.25236233952187,30.48500988788176,3.1049655984675995,0.4276734164716469,0.0,3.5326390149392464,375.1694985474499,0.0,0.0,0.5111255244996353,4452.925569440823,44.38170230826529
