Type of unit,"Installed capacity (MW, t/h, MWh, t)",Total investment (MEUR),Annualised investment (MEUR),Fixed O&M (MEUR),Variable O&M (MEUR),Cost per unit (MEUR),Production (kton or GWh),Electricity consumption (GWh),Production cost fuel (EUR/kg),Load average,Full load hours,Average electricity cost (EUR/MWh)
H2 user (ammonia plant),16.629922248145213,69.71263406422473,6.530594440010381,7.250646100191313,0.0,13.781240540201694,100.00000000000617,38.00000000000234,1.2164848911621677,0.6902269534429478,6013.2572183949615,45.15979670728679
Water supply,69.41204472176368,0.0,0.0,0.0,0.0,0.0,160.41866918779505,0.0,0.0,0.2652785924245123,2311.1070972023513,45.15979670728679
Electrolyser AEC,7.79844322449015,440.3546935572853,41.25189001936565,8.804442400449378,0.0,50.056332419815035,18.023037483248775,928.1864303873119,0.0,0.2652785924245123,2311.1070972023513,45.15979670728679
H2 pipeline to demand,2.9963823870531914,0.0,0.0,0.0,0.0,0.0,18.018018018019127,0.0,0.0,0.6902269534429478,6013.2572183949615,45.15979670728679
H2 storage compressor,806.8462214216737,0.0,0.0,0.0,0.0,0.0,203.07405231176102,190.88960917305533,0.0,0.028889884060499735,251.68866993507368,45.15979670728679
H2 storage valve,809.842603808727,0.0,0.0,0.0,0.0,0.0,203.0690328465303,0.0,0.0,0.028782281305739028,250.75123473559842,45.15979670728679
H2 underground pipe,55.77183589681002,25.69717592935622,2.1005606029943835,0.05530759152520782,0.0,2.1558681945195914,268.599516499333,0.0,0.0,0.5528055810825998,4816.042222391609,45.15979670728679
Solar PV fixed support,928.2709994682714,510.5490497075493,43.80677540755502,8.447266095161268,0.0,52.25404150271629,1157.092044532716,0.0,0.0,0.1430787898380963,1246.5024170694949,45.15979670728679
Electricity to the grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.15979670728679
Charge batteries,80.02486173265193,0.0,0.0,0.0,0.045623406558524426,0.045623406558524426,21.875644453113484,0.0,0.0,0.031377479675857606,273.3606029360715,45.15979670728679
Discharge batteries,67.38612082406156,0.0,0.0,0.0,0.0,0.0,21.859639480766955,0.0,0.0,0.03723528411871013,324.39379524220266,45.15979670728679
Batteries,80.02486173265193,28.955374466122173,2.949168851796739,0.40621420064111446,0.0,3.355383052437854,359.1642962847489,0.0,0.0,0.5151697556212765,4488.158910972561,45.15979670728679
