Type of unit,"Installed capacity (MW, t/h, MWh, t)",Total investment (MEUR),Annualised investment (MEUR),Fixed O&M (MEUR),Variable O&M (MEUR),Cost per unit (MEUR),Production (kton or GWh),Electricity consumption (GWh),Production cost fuel (EUR/kg),Load average,Full load hours,Average electricity cost (EUR/MWh)
H2 user (ammonia plant),16.074057478023256,67.38244894787348,6.312305543466623,7.0082890604181385,0.0,13.32059460388476,99.99999999999189,37.999999999996916,1.0776804792742354,0.7140960261603043,6221.204579908571,40.51874120946276
Water supply,62.07115148063518,0.0,0.0,0.0,0.0,0.0,160.4082568742986,0.0,0.0,0.29663271765961824,2584.264236250594,40.51874120946276
Electrolyser AEC,6.973693868849363,393.7835716923169,36.88916418639521,7.8733003779309305,0.0,44.762464564326145,18.021867659827446,928.1261844811137,0.0,0.29663271765961824,2584.264236250594,40.51874120946276
H2 pipeline to demand,2.8962265726168024,0.0,0.0,0.0,0.0,0.0,18.01801801801656,0.0,0.0,0.7140960261603043,6221.204579908571,40.51874120946276
H2 storage compressor,342.68639961947633,0.0,0.0,0.0,0.0,0.0,155.47309915621022,146.1447132068376,0.0,0.052076347976275146,453.68914356930907,40.51874120946276
H2 storage valve,341.05831874996284,0.0,0.0,0.0,0.0,0.0,155.46924951440096,0.0,0.0,0.0523236447674109,455.8435932136838,40.51874120946276
H2 underground pipe,42.77379788072316,19.708259404287176,1.6110094499118113,0.0424177490865806,0.0,1.653427198998392,203.03301162110924,0.0,0.0,0.5448424999209558,4746.667859311367,40.51874120946276
Solar PV fixed support,800.6208141992399,440.34144780958195,37.78273393688923,7.285649409213082,0.0,45.06838334610231,1112.2848835090915,0.0,0.0,0.15946717171717173,1389.278,40.51874120946276
Electricity to the grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.51874120946276
Charge batteries,58.44531943654448,0.0,0.0,0.0,0.031102717637424507,0.031102717637424507,14.913222047307947,0.0,0.0,0.029288955275307327,255.16537835847743,40.51874120946276
Discharge batteries,46.92948414740328,0.0,0.0,0.0,0.0,0.0,14.89923622616447,0.0,0.0,0.0364418451795769,317.48135520447397,40.51874120946276
Batteries,69.92910571738005,25.302429748549145,2.577108362957045,0.3549671335319929,0.0,2.9320754964890376,332.85466082003654,0.0,0.0,0.5463598806475768,4759.887280201689,40.51874120946276
