Type of unit,"Installed capacity (MW, t/h, MWh, t)",Total investment (MEUR),Annualised investment (MEUR),Fixed O&M (MEUR),Variable O&M (MEUR),Cost per unit (MEUR),Production (kton or GWh),Electricity consumption (GWh),Production cost fuel (EUR/kg),Load average,Full load hours,Average electricity cost (EUR/MWh)
H2 user (ammonia plant),16.34116806771828,68.50217653987502,6.417200257097937,7.1247492775251695,0.0,13.541949534623107,99.99999999999278,37.99999999999726,1.1299758074419861,0.70242350618768,6119.513585907068,42.407241938976846
Water supply,65.54910482555152,0.0,0.0,0.0,0.0,0.0,160.41022934105396,0.0,0.0,0.28089721147214003,2447.176506345284,42.407241938976846
Electrolyser AEC,7.364441927150713,415.84794230041933,38.95612748436574,8.314454935753155,0.0,47.27058242011889,18.022089266467415,928.1375972230718,0.0,0.28089721147214003,2447.176506345284,42.407241938976846
H2 pipeline to demand,2.9443546067960864,0.0,0.0,0.0,0.0,0.0,18.01801801801672,0.0,0.0,0.70242350618768,6119.513585907068,42.407241938976846
H2 storage compressor,549.4767159894435,0.0,0.0,0.0,0.0,0.0,146.14544743753763,137.37672059128536,0.0,0.030529390257423527,265.97204792267377,42.407241938976846
H2 storage valve,552.4210705962396,0.0,0.0,0.0,0.0,0.0,146.14137618908848,0.0,0.0,0.030365825414089418,264.547071007547,42.407241938976846
H2 underground pipe,45.236093879372305,20.842775642635647,1.7037480496818245,0.044859548950573064,0.0,1.7486075986323975,225.61448990021404,0.0,0.0,0.5724848853031363,4987.488320760924,42.407241938976846
Solar PV fixed support,831.3418221283777,457.2380021706077,39.232513468315226,7.565210581368236,0.0,46.79772404968346,1103.531423171175,0.0,0.0,0.15236569903581265,1327.40997,42.407241938976846
Electricity to the grid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.407241938976846
Charge batteries,85.52678410304634,0.0,0.0,0.0,0.052642567638030845,0.052642567638030845,25.241212342864262,0.0,0.0,0.03387585000297365,295.1264052259064,42.407241938976846
Discharge batteries,68.42142728243708,0.0,0.0,0.0,0.0,0.0,25.224106986043655,0.0,0.0,0.04231611645229373,368.658006532383,42.407241938976846
Batteries,85.52678410304634,30.946133576091395,3.151932064733978,0.4341425087854735,0.0,3.5860745735194515,383.1780774507036,0.0,0.0,0.5142575126672733,4480.211450357285,42.407241938976846
