;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed;Solar fixed
Locations;Almeria2023;Forli2014;Forli2014;Forli2014;Forli2014;Forli2015;Forli2015;Forli2015;Forli2015;Torino2019;Torino2019;Torino2019;Torino2020;Torino2020;Torino2020;Utrecht2014;Utrecht2014;Utrecht2014;Utrecht2014;Utrecht2015;Utrecht2015;Utrecht2015;Utrecht2015;Utrecht2016;Utrecht2016;Utrecht2016;Utrecht2017;Utrecht2017;Utrecht2017
Profile time series;PG-MERRA2;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH;PG-SARAH2;PG-ERA5;PG-MERRA2;PG-SARAH2;PG-ERA5;PG-MERRA2
Subsets;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed;RPU_Solar_fixed
Index;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;0.005;0.041460000000000004;0.16538999999999998;0.147;0.06;0.04208;0.1745;0.194;0.037;0.0;0.0045899999999999995;0.03;0.0;0.00368;0.036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;0.089;0.32997000000000004;0.39114;0.394;0.31;0.22613999999999998;0.40678;0.438;0.221;0.03427;0.17424;0.182;0.1457;0.18862;0.227;0.0;0.13826;0.023;0.022;0.0;0.0987;0.016;0.04;0.0;0.11685;0.017;0.0;0.0039;0.059
10;0.169;0.4924;0.54123;0.551;0.495;0.36363;0.5503899999999999;0.593;0.345;0.31586000000000003;0.34724;0.343;0.35370999999999997;0.3688;0.403;0.29966000000000004;0.29258;0.065;0.235;0.36351;0.17203;0.102;0.261;0.12654;0.28197000000000005;0.058;0.00198;0.026420000000000003;0.139
11;0.222;0.5827899999999999;0.6029;0.642;0.585;0.46802999999999995;0.64287;0.67;0.448;0.34241000000000005;0.48682;0.499;0.49158999999999997;0.48652;0.521;0.41888;0.37072000000000005;0.086;0.341;0.45507;0.24262;0.265;0.285;0.49513;0.35525;0.069;0.02476;0.07684999999999999;0.137
12;0.304;0.63009;0.62264;0.653;0.611;0.48969999999999997;0.61456;0.679;0.493;0.5809500000000001;0.55465;0.558;0.57233;0.54467;0.579;0.37599;0.37725;0.105;0.355;0.22416;0.27088999999999996;0.196;0.158;0.3925;0.39504;0.061;0.01738;0.11487;0.072
13;0.357;0.6083099999999999;0.5853400000000001;0.597;0.591;0.5535;0.57155;0.617;0.499;0.60622;0.56564;0.55;0.59225;0.54643;0.577;0.4167;0.20193;0.12;0.377;0.21558000000000002;0.35034;0.145;0.183;0.4092;0.40484;0.047;0.02219;0.13871;0.045
14;0.359;0.5186900000000001;0.4707;0.469;0.485;0.579;0.33782;0.482;0.484;0.54538;0.5042099999999999;0.497;0.5574199999999999;0.48578;0.505;0.30544;0.05793;0.053;0.324;0.11270999999999999;0.26013;0.108;0.133;0.17491;0.30702999999999997;0.028;0.04623;0.06265;0.021
15;0.335;0.35276;0.28174;0.256;0.315;0.37899;0.16299;0.258;0.331;0.45972;0.36595;0.337;0.45266;0.35377;0.344;0.13038999999999998;0.02209;0.024;0.16;0.17512;0.04224;0.061;0.099;0.07039;0.06729;0.009;0.00623;0.01323;0.003
16;0.219;0.00735;0.00155;0.02;0.076;0.00959;0.0008900000000000001;0.02;0.064;0.25633999999999996;0.15736;0.109;0.28931999999999997;0.15097;0.097;0.0;0.0;0.0;0.009;0.0;0.0;0.001;0.004;0.0;0.0;0.0;0.0;0.0;0.0
17;0.048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;0.01;0.00802;0.02928;0.03;0.011;0.02721;0.15624000000000002;0.139;0.032;0.0;0.00299;0.052;0.0;0.0025099999999999996;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33;0.114;0.09567;0.07908;0.092;0.085;0.2005;0.3418;0.311;0.224;0.08529;0.19113999999999998;0.267;0.14119;0.1579;0.202;0.0;0.01143;0.011;0.0;0.0;0.01721;0.037;0.001;0.0;0.00085;0.001;0.0;0.16019;0.112
