,Solar fixed,Solar fixed,Solar fixed
Locations,Almeria2023,Almeria2023,Almeria2023
Profile time series,PG3-SARAH3,PG3-ERA5,PV-MEAS
Subsets,RPU_Solar_fixed,RPU_Solar_fixed,RPU_Solar_fixed
Index,1,2,3
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0019,0.005
9,0.04679,0.22823,0.089
10,0.34476999999999997,0.3926,0.169
11,0.59024,0.51528,0.222
12,0.62364,0.5688500000000001,0.304
13,0.6858200000000001,0.5522,0.357
14,0.6229,0.5222100000000001,0.359
15,0.47663,0.40404,0.335
16,0.3584,0.27492,0.219
17,0.18205000000000002,0.01227,0.048
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.00148,0.01
33,0.12395,0.20409,0.114
34,0.19488999999999998,0.37109,0.219
35,0.42425999999999997,0.43125,0.308
36,0.62297,0.58384,0.356
37,0.64148,0.6127100000000001,0.365
38,0.50692,0.5465399999999999,0.335
39,0.54267,0.45582999999999996,0.249
40,0.40232,0.28237,0.134
41,0.18491,0.01043,0.026
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.00135,0.007
57,0.039009999999999996,0.21822,0.11
58,0.37609,0.40631,0.232
59,0.5393300000000001,0.54201,0.338
60,0.631,0.59838,0.413
61,0.64222,0.59892,0.464
62,0.62859,0.49561,0.47
63,0.57562,0.34364,0.41
64,0.24465,0.25604000000000005,0.263
65,0.10321,0.0107,0.07
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.00091,0.021
81,0.15959,0.18334,0.258
82,0.40035000000000004,0.36069,0.452
83,0.54998,0.5080899999999999,0.575
84,0.63893,0.52073,0.637
85,0.6653300000000001,0.62571,0.64
86,0.5955199999999999,0.57314,0.59
87,0.47605000000000003,0.46882999999999997,0.48
88,0.34269,0.28949,0.303
89,0.11891,0.00975,0.083
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.00076,0.008
105,0.04728,0.2078,0.125
106,0.16152,0.40120999999999996,0.354
