Almeria2023 PG3-SARAH3,Almeria2023 PG3-ERA5,Almeria2023 RN-MERRA2,Almeria2023 PV-MEAS
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0019,0.0,0.005
0.04679,0.22823,0.08,0.089
0.34476999999999997,0.3926,0.156,0.169
0.59024,0.51528,0.206,0.222
0.62364,0.5688500000000001,0.284,0.304
0.6858200000000001,0.5522,0.335,0.357
0.6229,0.5222100000000001,0.336,0.359
0.47663,0.40404,0.313,0.335
0.3584,0.27492,0.203,0.219
0.18205000000000002,0.01227,0.041,0.048
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00148,0.004,0.01
0.12395,0.20409,0.104,0.114
0.19488999999999998,0.37109,0.204,0.219
0.42425999999999997,0.43125,0.287,0.308
0.62297,0.58384,0.333,0.356
0.64148,0.6127100000000001,0.342,0.365
0.50692,0.5465399999999999,0.313,0.335
0.54267,0.45582999999999996,0.232,0.249
0.40232,0.28237,0.123,0.134
0.18491,0.01043,0.02,0.026
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00135,0.001,0.007
0.039009999999999996,0.21822,0.1,0.11
0.37609,0.40631,0.216,0.232
0.5393300000000001,0.54201,0.317,0.338
0.631,0.59838,0.387,0.413
0.64222,0.59892,0.435,0.464
0.62859,0.49561,0.441,0.47
0.57562,0.34364,0.384,0.41
0.24465,0.25604000000000005,0.245,0.263
0.10321,0.0107,0.062,0.07
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00091,0.014,0.021
0.15959,0.18334,0.24,0.258
0.40035000000000004,0.36069,0.423,0.452
0.54998,0.5080899999999999,0.539,0.575
0.63893,0.52073,0.597,0.637
0.6653300000000001,0.62571,0.6,0.64
0.5955199999999999,0.57314,0.553,0.59
0.47605000000000003,0.46882999999999997,0.45,0.48
0.34269,0.28949,0.283,0.303
0.11891,0.00975,0.074,0.083
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00076,0.002,0.008
0.04728,0.2078,0.114,0.125
0.16152,0.40120999999999996,0.331,0.354
0.36172000000000004,0.47666000000000003,0.542,0.578
0.63849,0.53028,0.599,0.639
0.67016,0.59253,0.605,0.645
0.5646,0.5622,0.557,0.594
0.50941,0.44682,0.455,0.485
0.38055,0.29184,0.288,0.308
0.15852000000000002,0.01055,0.076,0.086
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00067,0.019,0.026
0.13749,0.16296000000000002,0.239,0.256
0.37831,0.32237,0.405,0.432
0.55149,0.45382,0.545,0.581
0.6462,0.5709500000000001,0.599,0.639
0.64785,0.55816,0.61,0.651
0.54937,0.50595,0.566,0.603
0.4641,0.42367,0.464,0.495
0.36024,0.26509,0.298,0.318
0.17828,0.01062,0.084,0.093
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00019,0.024,0.031
0.17351,0.22343000000000002,0.273,0.292
0.40868,0.40576999999999996,0.456,0.486
0.55091,0.52404,0.572,0.611
0.65131,0.59213,0.63,0.672
0.68072,0.64354,0.633,0.675
0.66261,0.59037,0.583,0.622
0.57241,0.50569,0.479,0.511
0.41455000000000003,0.33984,0.306,0.328
0.20097,0.01091,0.089,0.099
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00108,0.001,0.006
0.13945,0.21791999999999997,0.072,0.081
0.19602,0.36657,0.142,0.154
0.50801,0.35978,0.213,0.229
0.59846,0.35118,0.397,0.423
0.22307,0.33512000000000003,0.486,0.519
0.30709,0.3282,0.439,0.468
0.21422999999999998,0.24094,0.298,0.319
0.11878,0.18141,0.143,0.155
0.07608,0.02307,0.025,0.031
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00165,0.008,0.014
0.0535,0.18337,0.155,0.168
0.22604,0.36501999999999996,0.294,0.315
0.43551999999999996,0.5296799999999999,0.385,0.411
0.64912,0.61298,0.438,0.467
0.6330800000000001,0.64847,0.498,0.532
0.62739,0.60249,0.534,0.569
0.55015,0.47816000000000003,0.433,0.462
0.4008,0.32033999999999996,0.274,0.294
0.17168,0.01102,0.068,0.076
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.00086,0.024,0.031
0.16009,0.21321,0.258,0.276
0.39065,0.338,0.433,0.462
0.5316000000000001,0.53743,0.547,0.584
0.62305,0.62754,0.603,0.644
0.6539299999999999,0.64779,0.607,0.648
0.6439199999999999,0.60166,0.558,0.596
0.55049,0.49543,0.456,0.487
0.40835000000000005,0.32756,0.296,0.316
0.20358,0.01216,0.081,0.09
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
