time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20230101:0030,0.0,0.0,0.0,10.29,1.79,0.0,0.0
20230101:0130,0.0,0.0,0.0,9.54,1.93,0.0,0.0
20230101:0230,0.0,0.0,0.0,9.03,2.0,0.0,0.0
20230101:0330,0.0,0.0,0.0,8.93,2.0,0.0,0.0
20230101:0430,0.0,0.0,0.0,8.98,2.0,0.0,0.0
20230101:0530,0.0,0.0,0.0,9.67,1.93,0.0,0.0
20230101:0630,0.0,0.0,0.0,11.19,1.66,0.0,0.0
20230101:0730,1.9,9.85,0.39,11.24,1.66,0.0,0.0019
20230101:0830,228.23,275.86,10.28,10.96,1.66,0.0,0.22823
20230101:0930,392.6,454.01,18.78,11.58,1.45,0.0,0.3926
20230101:1030,515.28,610.58,25.3,15.21,0.97,0.0,0.51528
20230101:1130,568.85,685.74,29.2,17.75,1.1,0.0,0.5688500000000001
20230101:1230,552.2,663.74,29.93,18.51,1.45,0.0,0.5522
20230101:1330,522.21,624.16,27.39,18.65,1.72,0.0,0.5222100000000001
20230101:1430,404.04,480.17,21.95,18.37,1.79,0.0,0.40404
20230101:1530,274.92,333.76,14.25,17.76,1.72,0.0,0.27492
20230101:1630,12.27,26.41,4.91,16.83,1.45,0.0,0.01227
20230101:1730,0.0,0.0,0.0,15.75,1.1,0.0,0.0
20230101:1830,0.0,0.0,0.0,14.45,1.03,0.0,0.0
20230101:1930,0.0,0.0,0.0,13.77,0.83,0.0,0.0
20230101:2030,0.0,0.0,0.0,13.12,1.03,0.0,0.0
20230101:2130,0.0,0.0,0.0,12.15,1.31,0.0,0.0
20230101:2230,0.0,0.0,0.0,11.14,1.59,0.0,0.0
20230101:2330,0.0,0.0,0.0,10.84,1.52,0.0,0.0
20230102:0030,0.0,0.0,0.0,11.06,1.38,0.0,0.0
20230102:0130,0.0,0.0,0.0,11.16,1.31,0.0,0.0
20230102:0230,0.0,0.0,0.0,11.09,1.31,0.0,0.0
20230102:0330,0.0,0.0,0.0,10.55,1.45,0.0,0.0
20230102:0430,0.0,0.0,0.0,9.86,1.59,0.0,0.0
20230102:0530,0.0,0.0,0.0,9.65,1.59,0.0,0.0
20230102:0630,0.0,0.0,0.0,9.46,1.66,0.0,0.0
20230102:0730,1.48,8.99,0.37,10.07,1.66,0.0,0.00148
20230102:0830,204.09,247.35,10.27,10.04,1.59,0.0,0.20409
20230102:0930,371.09,429.8,18.79,11.99,1.24,0.0,0.37109
20230102:1030,431.25,504.72,25.34,15.18,1.1,0.0,0.43125
20230102:1130,583.84,692.97,29.26,16.7,1.72,0.0,0.58384
20230102:1230,612.71,726.84,30.02,17.36,2.28,0.0,0.6127100000000001
20230102:1330,546.54,644.34,27.51,17.58,2.48,0.0,0.5465399999999999
20230102:1430,455.83,536.38,22.08,17.5,2.41,0.0,0.45582999999999996
20230102:1530,282.37,340.58,14.38,17.21,2.28,0.0,0.28237
20230102:1630,10.43,23.76,5.05,16.5,1.93,0.0,0.01043
20230102:1730,0.0,0.0,0.0,15.56,1.45,0.0,0.0
20230102:1830,0.0,0.0,0.0,14.87,1.38,0.0,0.0
20230102:1930,0.0,0.0,0.0,13.77,1.52,0.0,0.0
20230102:2030,0.0,0.0,0.0,12.69,1.59,0.0,0.0
20230102:2130,0.0,0.0,0.0,11.76,1.79,0.0,0.0
20230102:2230,0.0,0.0,0.0,10.93,2.0,0.0,0.0
20230102:2330,0.0,0.0,0.0,10.25,2.14,0.0,0.0
20230103:0030,0.0,0.0,0.0,9.73,2.21,0.0,0.0
20230103:0130,0.0,0.0,0.0,9.32,2.07,0.0,0.0
20230103:0230,0.0,0.0,0.0,8.97,2.07,0.0,0.0
20230103:0330,0.0,0.0,0.0,8.7,2.07,0.0,0.0
20230103:0430,0.0,0.0,0.0,8.69,2.0,0.0,0.0
20230103:0530,0.0,0.0,0.0,9.03,1.93,0.0,0.0
20230103:0630,0.0,0.0,0.0,9.77,1.79,0.0,0.0
20230103:0730,1.35,8.71,0.35,9.83,1.72,0.0,0.00135
20230103:0830,218.22,263.57,10.27,9.89,1.66,0.0,0.21822
20230103:0930,406.31,472.22,18.81,12.47,1.24,0.0,0.40631
20230103:1030,542.01,635.77,25.39,15.17,1.79,0.0,0.54201
20230103:1130,598.38,707.17,29.34,16.22,2.07,0.0,0.59838
20230103:1230,598.92,708.62,30.12,16.74,2.21,0.0,0.59892
20230103:1330,495.61,582.15,27.62,16.99,2.28,0.0,0.49561
20230103:1430,343.64,403.74,22.21,16.82,2.28,0.0,0.34364
20230103:1530,256.04,308.61,14.52,16.46,2.34,0.0,0.25604000000000005
20230103:1630,10.7,24.09,5.19,15.77,2.41,0.0,0.0107
20230103:1730,0.0,0.0,0.0,14.78,2.21,0.0,0.0
20230103:1830,0.0,0.0,0.0,13.95,2.14,0.0,0.0
20230103:1930,0.0,0.0,0.0,13.53,2.0,0.0,0.0
20230103:2030,0.0,0.0,0.0,12.82,2.0,0.0,0.0
20230103:2130,0.0,0.0,0.0,11.95,1.93,0.0,0.0
20230103:2230,0.0,0.0,0.0,11.3,1.86,0.0,0.0
20230103:2330,0.0,0.0,0.0,10.94,1.93,0.0,0.0
20230104:0030,0.0,0.0,0.0,10.56,1.93,0.0,0.0
20230104:0130,0.0,0.0,0.0,9.92,1.93,0.0,0.0
20230104:0230,0.0,0.0,0.0,9.14,1.93,0.0,0.0
20230104:0330,0.0,0.0,0.0,8.69,2.0,0.0,0.0
20230104:0430,0.0,0.0,0.0,8.48,2.0,0.0,0.0
20230104:0530,0.0,0.0,0.0,8.07,2.0,0.0,0.0
20230104:0630,0.0,0.0,0.0,7.88,2.07,0.0,0.0
20230104:0730,0.91,7.76,0.34,8.31,1.79,0.0,0.00091
20230104:0830,183.34,222.39,10.28,8.38,1.86,0.0,0.18334
20230104:0930,360.69,413.31,18.84,10.48,1.79,0.0,0.36069
20230104:1030,508.09,588.34,25.44,14.05,2.21,0.0,0.5080899999999999
20230104:1130,520.73,603.6,29.42,15.2,2.62,0.0,0.52073
20230104:1230,625.71,733.44,30.23,15.77,2.76,0.0,0.62571
20230104:1330,573.14,670.37,27.75,16.17,2.76,0.0,0.57314
20230104:1430,468.83,546.92,22.35,16.25,2.76,0.0,0.46882999999999997
20230104:1530,289.49,345.88,14.66,15.97,2.69,0.0,0.28949
20230104:1630,9.75,22.67,5.33,15.19,2.62,0.0,0.00975
20230104:1730,0.0,0.0,0.0,14.03,2.21,0.0,0.0
20230104:1830,0.0,0.0,0.0,13.1,2.0,0.0,0.0
20230104:1930,0.0,0.0,0.0,12.59,1.52,0.0,0.0
20230104:2030,0.0,0.0,0.0,11.97,1.59,0.0,0.0
20230104:2130,0.0,0.0,0.0,11.25,1.59,0.0,0.0
20230104:2230,0.0,0.0,0.0,10.82,1.59,0.0,0.0
