time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20230101:0009,0.0,0.0,0.0,10.29,1.79,0.0,0.0
20230101:0109,0.0,0.0,0.0,9.54,1.93,0.0,0.0
20230101:0209,0.0,0.0,0.0,9.03,2.0,0.0,0.0
20230101:0309,0.0,0.0,0.0,8.93,2.0,0.0,0.0
20230101:0409,0.0,0.0,0.0,8.98,2.0,0.0,0.0
20230101:0509,0.0,0.0,0.0,9.67,1.93,0.0,0.0
20230101:0609,0.0,0.0,0.0,11.19,1.66,0.0,0.0
20230101:0709,0.0,0.0,0.0,11.24,1.66,0.0,0.0
20230101:0809,46.79,69.67,7.1,10.96,1.66,0.0,0.04679
20230101:0909,344.77,401.34,16.13,11.58,1.45,0.0,0.34476999999999997
20230101:1009,590.24,706.07,23.38,15.21,0.97,0.0,0.59024
20230101:1109,623.64,757.31,28.23,17.75,1.1,0.0,0.62364
20230101:1209,685.82,838.67,30.05,18.51,1.45,0.0,0.6858200000000001
20230101:1309,622.9,752.46,28.59,18.65,1.72,0.0,0.6229
20230101:1409,476.63,567.48,24.06,18.37,1.79,0.0,0.47663
20230101:1509,358.4,428.61,17.04,17.76,1.72,0.0,0.3584
20230101:1609,182.05,236.72,8.18,16.83,1.45,0.0,0.18205000000000002
20230101:1709,0.0,0.0,0.0,15.75,1.1,0.0,0.0
20230101:1809,0.0,0.0,0.0,14.45,1.03,0.0,0.0
20230101:1909,0.0,0.0,0.0,13.77,0.83,0.0,0.0
20230101:2009,0.0,0.0,0.0,13.12,1.03,0.0,0.0
20230101:2109,0.0,0.0,0.0,12.15,1.31,0.0,0.0
20230101:2209,0.0,0.0,0.0,11.14,1.59,0.0,0.0
20230101:2309,0.0,0.0,0.0,10.84,1.52,0.0,0.0
20230102:0009,0.0,0.0,0.0,11.06,1.38,0.0,0.0
20230102:0109,0.0,0.0,0.0,11.16,1.31,0.0,0.0
20230102:0209,0.0,0.0,0.0,11.09,1.31,0.0,0.0
20230102:0309,0.0,0.0,0.0,10.55,1.45,0.0,0.0
20230102:0409,0.0,0.0,0.0,9.86,1.59,0.0,0.0
20230102:0509,0.0,0.0,0.0,9.65,1.59,0.0,0.0
20230102:0609,0.0,0.0,0.0,9.46,1.66,0.0,0.0
20230102:0709,0.0,0.0,0.0,10.07,1.66,0.0,0.0
20230102:0809,123.95,161.1,7.09,10.04,1.59,0.0,0.12395
20230102:0909,194.89,233.49,16.13,11.99,1.24,0.0,0.19488999999999998
20230102:1009,424.26,499.36,23.41,15.18,1.1,0.0,0.42425999999999997
20230102:1109,622.97,744.07,28.29,16.7,1.72,0.0,0.62297
20230102:1209,641.48,765.14,30.14,17.36,2.28,0.0,0.64148
20230102:1309,506.92,597.76,28.7,17.58,2.48,0.0,0.50692
20230102:1409,542.67,641.16,24.18,17.5,2.41,0.0,0.54267
20230102:1509,402.32,477.67,17.16,17.21,2.28,0.0,0.40232
