time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20190101:0030,0.0,0.0,0.0,1.11,1.1,0.0,0.0
20190101:0130,0.0,0.0,0.0,0.31,1.24,0.0,0.0
20190101:0230,0.0,0.0,0.0,-0.34,1.45,0.0,0.0
20190101:0330,0.0,0.0,0.0,-0.7,1.52,0.0,0.0
20190101:0430,0.0,0.0,0.0,-0.73,1.45,0.0,0.0
20190101:0530,0.0,0.0,0.0,-0.36,1.24,0.0,0.0
20190101:0630,0.0,0.0,0.0,0.63,0.97,0.0,0.0
20190101:0730,4.59,14.09,2.38,0.76,1.03,0.0,0.0045899999999999995
20190101:0830,174.24,216.32,10.22,0.03,1.1,0.0,0.17424
20190101:0930,347.24,400.67,16.4,1.48,0.62,0.0,0.34724
20190101:1030,486.82,570.47,20.44,3.54,0.34,0.0,0.48682
20190101:1130,554.65,658.96,21.92,4.54,0.48,0.0,0.55465
20190101:1230,565.64,673.23,20.69,5.3,0.69,0.0,0.56564
20190101:1330,504.21,593.24,16.87,5.72,0.76,0.0,0.5042099999999999
20190101:1430,365.95,424.51,10.87,5.72,0.76,0.0,0.36595
20190101:1530,157.36,192.12,3.16,5.03,0.69,0.0,0.15736
20190101:1630,0.0,0.0,0.0,3.68,0.62,0.0,0.0
20190101:1730,0.0,0.0,0.0,3.24,0.69,0.0,0.0
20190101:1830,0.0,0.0,0.0,3.1,0.55,0.0,0.0
20190101:1930,0.0,0.0,0.0,3.06,0.48,0.0,0.0
20190101:2030,0.0,0.0,0.0,2.32,0.83,0.0,0.0
20190101:2130,0.0,0.0,0.0,0.56,1.1,0.0,0.0
20190101:2230,0.0,0.0,0.0,-0.05,1.1,0.0,0.0
20190101:2330,0.0,0.0,0.0,-0.5,1.1,0.0,0.0
20190102:0030,0.0,0.0,0.0,-0.84,1.17,0.0,0.0
20190102:0130,0.0,0.0,0.0,-1.07,1.17,0.0,0.0
20190102:0230,0.0,0.0,0.0,-0.88,1.17,0.0,0.0
20190102:0330,0.0,0.0,0.0,-0.78,1.1,0.0,0.0
20190102:0430,0.0,0.0,0.0,-0.95,1.17,0.0,0.0
20190102:0530,0.0,0.0,0.0,-1.76,1.38,0.0,0.0
20190102:0630,0.0,0.0,0.0,-2.25,1.38,0.0,0.0
20190102:0730,2.99,11.45,2.38,0.24,0.97,0.0,0.00299
20190102:0830,191.14,237.03,10.24,0.02,1.03,0.0,0.19113999999999998
20190102:0930,360.77,418.74,16.44,2.47,0.62,0.0,0.36077
20190102:1030,512.46,611.82,20.5,5.03,0.07,0.0,0.51246
20190102:1130,572.65,696.63,22.01,7.15,0.28,0.0,0.57265
20190102:1230,582.84,705.26,20.79,8.12,0.9,0.0,0.58284
20190102:1330,518.51,614.9,16.99,8.17,1.31,0.0,0.51851
20190102:1430,380.03,444.11,10.99,7.65,1.1,0.0,0.38003
20190102:1530,167.4,204.38,3.29,6.18,0.55,0.0,0.1674
20190102:1630,0.0,0.0,0.0,4.94,0.55,0.0,0.0
20190102:1730,0.0,0.0,0.0,4.14,0.55,0.0,0.0
20190102:1830,0.0,0.0,0.0,3.68,0.62,0.0,0.0
20190102:1930,0.0,0.0,0.0,5.05,1.1,0.0,0.0
20190102:2030,0.0,0.0,0.0,3.97,1.17,0.0,0.0
20190102:2130,0.0,0.0,0.0,2.12,1.24,0.0,0.0
