time,P,G(i),H_sun,T2m,WS10m,Int,P_kW
20200101:0010,0.0,0.0,0.0,1.46,0.69,0.0,0.0
20200101:0110,0.0,0.0,0.0,0.9,0.34,0.0,0.0
20200101:0210,0.0,0.0,0.0,0.66,0.34,0.0,0.0
20200101:0310,0.0,0.0,0.0,0.48,0.34,0.0,0.0
20200101:0410,0.0,0.0,0.0,0.31,0.41,0.0,0.0
20200101:0510,0.0,0.0,0.0,0.15,0.34,0.0,0.0
20200101:0610,0.0,0.0,0.0,-0.05,0.48,0.0,0.0
20200101:0710,0.0,0.0,0.0,-0.99,0.41,0.0,0.0
20200101:0810,145.7,195.61,7.84,-0.61,0.48,0.0,0.1457
20200101:0910,353.71,415.22,14.61,1.54,0.41,0.0,0.35370999999999997
20200101:1010,491.59,583.96,19.39,5.11,0.28,0.0,0.49158999999999997
20200101:1110,572.33,695.85,21.74,7.62,0.41,0.0,0.57233
20200101:1210,592.25,725.3,21.38,8.96,0.62,0.0,0.59225
20200101:1310,557.42,679.03,18.37,9.6,0.62,0.0,0.5574199999999999
20200101:1410,452.66,539.94,13.02,9.4,0.69,0.0,0.45266
20200101:1510,289.32,342.68,5.81,8.16,1.03,0.0,0.28931999999999997
20200101:1610,0.0,0.0,0.0,5.56,1.24,0.0,0.0
20200101:1710,0.0,0.0,0.0,4.38,1.24,0.0,0.0
20200101:1810,0.0,0.0,0.0,3.66,1.24,0.0,0.0
20200101:1910,0.0,0.0,0.0,3.7,0.97,0.0,0.0
20200101:2010,0.0,0.0,0.0,2.06,1.17,0.0,0.0
20200101:2110,0.0,0.0,0.0,0.41,1.31,0.0,0.0
20200101:2210,0.0,0.0,0.0,-0.24,1.31,0.0,0.0
20200101:2310,0.0,0.0,0.0,-0.5,1.17,0.0,0.0
20200102:0010,0.0,0.0,0.0,-0.01,0.69,0.0,0.0
20200102:0110,0.0,0.0,0.0,-0.39,0.62,0.0,0.0
20200102:0210,0.0,0.0,0.0,-0.79,0.69,0.0,0.0
