Subsets,Subsets_2,Type of units,Used (1 or 0),Legend flows,Yearly demand (kg fuel),Produced from,El balance,H2 balance,Max Capacity,Fuel production rate (kg output/kg input),Load min (percent of max capacity),Electrical consumption (kWh/output),Investment (EUR/Capacity installed),Fixed cost (EUR/Capacity installed/y),Variable cost (EUR/Output),Annuity factor
Product,Min_demand_MainFuel,H2 user (ammonia plant),1,Ammonia produced (H2 end-user) (kg/h),100000000,Reactant2,0,0,0,5.55,0.4,0.38,4192,436,0,0.093678779
Reactant1,NoSubset,Water supply,1,Water supply (kg/h),0,-,0,0,0,0,0,0,0,0,0,0
Product,NoSubset,Electrolyser AEC,1,H2_from_AEC (kg/h),0,Reactant1,0,1,0,0.11235,0,51.5,56467,1129,0,0.093678779
Reactant2,NoSubset,H2 pipeline to demand,1,H2_pipeline_to_demand (kg/h),0,-,0,-1,0,0,0,0,0,0,0,0
Stor_in,NoSubset,H2 storage compressor,1,H2_to_storage (kg/h),0,-,0,-1,0,0,0,0.94,0,0,0,0.093678779
Stor_out,NoSubset,H2 storage valve,1,H2_from_storage (kg/h),0,-,0,1,0,0,0,0,0,0,0,0
Tank,NoSubset,H2 underground pipe,1,H2_storage_undergroundpipes (kg),0,-,0,0,0,0,0.09,0,460.7554246,0.991676007,0,0.081742858
RPU_Solar_fixed,NoSubset,Solar PV fixed support,1,PV fixed support (kWh),0,-,1,0,0,0,0,0,550,9.1,0,0.085803265
PU_Grid_out,NoSubset,Electricity to the grid,1,Power_to_the_grid (kWh),0,-,-1,0,0,0,0,0,0,0,0.003,0
Stor_in,NoSubset,Charge batteries,1,Electricity_to_batteries (kWh),0,-,-1,0,0,0,0,0,0,0,0.00208558,0
Stor_out,NoSubset,Discharge batteries,1,Electricity_from_batteries (kWh),0,-,1,0,0,0,0,0,0,0,0,0
Tank,NoSubset,Batteries,1,Electricity_stored (kWh),0,-,0,0,0,0,0.2,0,361.8297344,5.0761,0,0.101852209
